name	bed1
type	none




anim	idle
	loop	1
	delay	12
	offset	120 155
	frame	data/bgs/14lvl/roomstuff/x1bed01.gif
	frame	data/bgs/14lvl/roomstuff/x1bed02.gif
	frame	data/bgs/14lvl/roomstuff/x1bed03.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif



	frame	data/bgs/14lvl/roomstuff/x1bed01.gif
	frame	data/bgs/14lvl/roomstuff/x1bed02.gif
	frame	data/bgs/14lvl/roomstuff/x1bed03.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif



	frame	data/bgs/14lvl/roomstuff/x1bed01.gif
	frame	data/bgs/14lvl/roomstuff/x1bed02.gif
	frame	data/bgs/14lvl/roomstuff/x1bed03.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif



	frame	data/bgs/14lvl/roomstuff/y1bed01.gif
	frame	data/bgs/14lvl/roomstuff/y1bed02.gif
	frame	data/bgs/14lvl/roomstuff/y1bed03.gif
	frame	data/bgs/14lvl/roomstuff/y1bed04.gif


	frame	data/bgs/14lvl/roomstuff/y1bed05.gif
	frame	data/bgs/14lvl/roomstuff/y1bed06.gif
	frame	data/bgs/14lvl/roomstuff/y1bed05.gif
	frame	data/bgs/14lvl/roomstuff/y1bed06.gif
	frame	data/bgs/14lvl/roomstuff/y1bed05.gif
	frame	data/bgs/14lvl/roomstuff/y1bed06.gif

	frame	data/bgs/14lvl/roomstuff/y1bed05.gif
	frame	data/bgs/14lvl/roomstuff/y1bed04.gif
	frame	data/bgs/14lvl/roomstuff/y1bed03.gif
	frame	data/bgs/14lvl/roomstuff/y1bed02.gif
	frame	data/bgs/14lvl/roomstuff/y1bed01.gif

	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif
	frame	data/bgs/14lvl/roomstuff/x1bed04.gif
	frame	data/bgs/14lvl/roomstuff/x1bed05.gif

		
