name			upwin
type			npc
subtype			notgrab
stealth                 1
nomove			1 1
health			5
jumpheight		0
noatflash		1
flash			cardam
nopain			1
noquake			1
falldie			1
nodieblink		3
makeinv			3
shadow			0
nodrop			2
antigrab		10
offscreenkill 		7000
subject_to_gravity 0
subject_to_wall    0
animationscript data/scripts/escript.c


load	cardam
load	glassbrk2




anim	death
	loop	0
	delay	5
	offset	125 55
	bbox	0 0 0 0
	frame	data/bgs/55lvl/bck/upwin2.gif
	@cmd	tosser "glassbrk2" -50 0 25 -0.1 3 0.3
	@cmd	tosser "glassbrk2" 75 0 25 0.1 3 0.3
	frame	data/bgs/55lvl/bck/upwin2.gif
	delay	300
	frame	data/bgs/55lvl/bck/upwin2.gif
		
anim	fall
	loop	0
	offset	125 55
	bbox	0 0 0 0
	frame	data/bgs/55lvl/bck/upwin2.gif
		
anim	idle
	loop	1
	delay	10
	offset	125 55
	bbox	20 -30 210 130
	frame	data/bgs/55lvl/bck/upwin1.gif
		
anim	spawn
	loop	0
	delay	10
	offset	125 55
	bbox	20 -30 210 130
	frame	data/bgs/55lvl/bck/upwin1.gif
		
#|edited by openBor Stats v 0.67
		
