name	 blockw2
type	 npc
health	 1000
nomove  1 1
nolife  1
lifespan  	7
setlayer	-500
subject_to_wall 	0
subject_to_platform	0
subject_to_gravity	0
candamage 	npc
#animationscript data/scripts/escript.c







		
anim	spawn
	loop	0
	delay	14
	offset	80 290
	bbox	0 0 0 0
	platform	30 355 -30 -30 110 110 80 350
	jumpframe	3 0.5 0 0
	hitfx	data/sounds/empty.wav
	sound	data/sounds/steel3.wav
	attack	50 150 50 50 1300 0 1 1 10 70
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	attack	0 0 0 0
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif
	sound	data/sounds/steel3.wav
	frame	data/bgs/9lvl/bck/blockw.gif






anim	fall
	loop	0
	delay	14
	offset	80 290
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif
		
anim	idle
	loop	0
	delay	1000
	offset	80 290
	bbox	0 0 0 0
	frame	data/chars/misc/empty.gif







		
#|edited by openBor Stats v 0.53
		
