name	 rmbyotlk3
type	 text
#subtype  noskip
facing   1
lifespan 800
setlayer	999999998
animationscript data/scripts/escript.c

load	mbarrv


anim	idle
	loop	0
	delay	7
	offset	1 1
	frame	data/bgs/beyond/0start/text/byor01.gif
	sound   data/sounds/blink.wav
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	frame	data/bgs/beyond/0start/text/byor01.gif
	frame	data/bgs/beyond/0start/text/byor02.gif
	delay	100
	frame	data/bgs/beyond/0start/text/byor01.gif
	delay	10
	frame	data/bgs/beyond/0start/text/byor03.gif
	sound	data/sounds/super2.wav
	frame	data/bgs/beyond/0start/text/byor04.gif
	frame	data/bgs/beyond/0start/text/byor05.gif
	frame	data/bgs/beyond/0start/text/byor06.gif
	frame	data/bgs/beyond/0start/text/byor07.gif
	frame	data/bgs/beyond/0start/text/byor08.gif
	frame	data/bgs/beyond/0start/text/byor09.gif
	frame	data/bgs/beyond/0start/text/byor10.gif
	delay	55
	frame	data/bgs/beyond/0start/text/3byor01.gif
	delay	12
	frame	data/bgs/beyond/0start/text/3byor02.gif
	sound   data/sounds/indirect.wav
	frame	data/bgs/beyond/0start/text/3byor03.gif
	frame	data/bgs/beyond/0start/text/3byor02.gif
	frame	data/bgs/beyond/0start/text/3byor03.gif
	frame	data/bgs/beyond/0start/text/3byor02.gif
	frame	data/bgs/beyond/0start/text/3byor03.gif
	frame	data/bgs/beyond/0start/text/3byor02.gif
	frame	data/bgs/beyond/0start/text/3byor03.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor03.gif
	delay	9
	frame	data/bgs/beyond/0start/text/3byor04.gif
	sound	data/sounds/super2.wav
	frame	data/bgs/beyond/0start/text/3byor05.gif
	frame	data/bgs/beyond/0start/text/3byor06.gif
	frame	data/bgs/beyond/0start/text/3byor07.gif
	frame	data/bgs/beyond/0start/text/3byor08.gif
	frame	data/bgs/beyond/0start/text/3byor09.gif
	frame	data/bgs/beyond/0start/text/3byor10.gif
	frame	data/bgs/beyond/0start/text/3byor11.gif
	frame	data/bgs/beyond/0start/text/3byor12.gif
	frame	data/bgs/beyond/0start/text/3byor13.gif
	frame	data/bgs/beyond/0start/text/3byor14.gif
	frame	data/bgs/beyond/0start/text/3byor15.gif
	frame	data/bgs/beyond/0start/text/3byor16.gif
	frame	data/bgs/beyond/0start/text/3byor17.gif
	frame	data/bgs/beyond/0start/text/3byor18.gif
	delay	55
	frame	data/bgs/beyond/0start/text/3byor18.gif
	delay	1000
	frame	data/bgs/beyond/0start/text/3byor19.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor19.gif
	frame	data/bgs/beyond/0start/text/3byor19.gif
	delay	1300
	frame	data/bgs/beyond/0start/text/3byor20.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor20.gif
	frame	data/bgs/beyond/0start/text/3byor20.gif
	delay	1400
	frame	data/bgs/beyond/0start/text/3byor21.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor21.gif
	frame	data/bgs/beyond/0start/text/3byor21.gif
	delay	12
	frame	data/bgs/beyond/0start/text/3byor22.gif
	sound   data/sounds/indirect.wav
	frame	data/bgs/beyond/0start/text/3byor23.gif
	frame	data/bgs/beyond/0start/text/3byor22.gif
	frame	data/bgs/beyond/0start/text/3byor23.gif
	frame	data/bgs/beyond/0start/text/3byor22.gif
	frame	data/bgs/beyond/0start/text/3byor23.gif
	frame	data/bgs/beyond/0start/text/3byor22.gif
	frame	data/bgs/beyond/0start/text/3byor23.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor23.gif
	delay	900
	frame	data/bgs/beyond/0start/text/3byor24.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor24.gif
	frame	data/bgs/beyond/0start/text/3byor24.gif
	delay	1400
	frame	data/bgs/beyond/0start/text/3byor25.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor25.gif
	frame	data/bgs/beyond/0start/text/3byor25.gif
	delay	1450
	frame	data/bgs/beyond/0start/text/3byor26.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor26.gif
	frame	data/bgs/beyond/0start/text/3byor26.gif
	delay	1300
	frame	data/bgs/beyond/0start/text/3byor27.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor27.gif
	frame	data/bgs/beyond/0start/text/3byor27.gif
	delay	12
	frame	data/bgs/beyond/0start/text/3byor28.gif
	sound   data/sounds/indirect.wav
	frame	data/bgs/beyond/0start/text/3byor29.gif
	frame	data/bgs/beyond/0start/text/3byor28.gif
	frame	data/bgs/beyond/0start/text/3byor29.gif
	frame	data/bgs/beyond/0start/text/3byor28.gif
	frame	data/bgs/beyond/0start/text/3byor29.gif
	frame	data/bgs/beyond/0start/text/3byor28.gif
	frame	data/bgs/beyond/0start/text/3byor29.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor29.gif
	delay	1300
	frame	data/bgs/beyond/0start/text/3byor30.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor30.gif
	frame	data/bgs/beyond/0start/text/3byor30.gif
	delay	1500
	frame	data/bgs/beyond/0start/text/3byor31.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor31.gif
	frame	data/bgs/beyond/0start/text/3byor31.gif
	delay	1550
	frame	data/bgs/beyond/0start/text/3byor32.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor32.gif
	frame	data/bgs/beyond/0start/text/3byor32.gif
	delay	1400
	frame	data/bgs/beyond/0start/text/3byor33.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor33.gif
	frame	data/bgs/beyond/0start/text/3byor33.gif
	delay	1450
	frame	data/bgs/beyond/0start/text/3byor34.gif
	delay	30
	frame	data/bgs/beyond/0start/text/3byor34.gif
	frame	data/bgs/beyond/0start/text/3byor34.gif
	delay	12
	frame	data/bgs/beyond/0start/text/3byor35.gif
	sound   data/sounds/indirect.wav
	frame	data/bgs/beyond/0start/text/3byor36.gif
	frame	data/bgs/beyond/0start/text/3byor35.gif
	frame	data/bgs/beyond/0start/text/3byor36.gif
