name          aiturt
type          enemy
health        20
nolife	      1
speed         10
jumpheight    0
nopain		1
nodrop		2
cantgrab	1
notgrab		1
shadow        6
noquake       1
nolife        1
falldie	      1
nodieblink    3
aggression	-15
dust            dust
projectilehit enemy obstacle
diesound      data/sounds/bang.wav

animationscript data/scripts/escript.c


load	glassbrk2
load    expeff1

anim	death
	loop	0
	delay	9
	offset	125 440
	bbox	0 0 0 0
	platform	1 1 1 1 1 1 1 1
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	@cmd	degravity 1
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	@cmd	spawnbind "glassbrk2" -10 110 1
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	@cmd	spawnbind "glassbrk2" 60 130 1
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif #8
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	@cmd	looper 8 7

	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	@cmd	dasher 0 0.2 0
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif #14
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	@cmd	spawn01 "expeff1" -15 90 1
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	sound	data/sounds/steel3.wav
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	@cmd	spawn01 "expeff1" 35 110 1
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	@cmd	looper 14 15

	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
	offset	125 440
	frame	data/bgs/beyond/lvl16/aid01.gif
	offset	121 440
	frame	data/bgs/beyond/lvl16/aid02.gif
