name			byotkcn1
type			npc
health			100
shadow			0
#nomove			1
falldie			1
nodieblink		3
#nodrop			2
noquake			1
subject_to_wall		0
subject_to_hole		0
subject_to_platform	0
subject_to_minz		0
subject_to_maxz		0
setlayer		-30
offscreenkill 	        30000
animationscript data/scripts/escript.c


anim	spawn
	loop	0
	delay	5
	offset	95 110
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif


anim	follow1
	loop	1
	delay	5
	offset	95 110
	bbox	35 35 110 85 15
	counterrange 0 4 1 1
     	followanim 2
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn01.gif

anim	follow2
	loop	0
	delay	5
	offset	95 110
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	sound	data/sounds/wood.wav
	frame	data/bgs/beyond/lvl20/bck/tankcn02.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn03.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn04.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn05.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn06.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn07.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn08.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn09.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn02.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn03.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn04.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn05.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn06.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn07.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn08.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn09.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	@cmd	anichange "ANI_FOLLOW5"
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif


anim	follow5
	loop	1
	delay	5
	offset	95 110
	bbox	60 35 50 85 15
	counterrange 0 4 1 1
     	followanim 6
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn10.gif

anim	follow6
	loop	0
	delay	12
	offset	145 140
	bbox	0 0 0 0
	frame	data/bgs/beyond/lvl20/bck/tankcn13.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn14.gif
	sound	data/sounds/exel.wav
	frame	data/bgs/beyond/lvl20/bck/tankcn15.gif
	frame	data/bgs/beyond/lvl20/bck/tankcn16.gif
	delay	5
	@cmd	spawnGun7 "venn1" 20 50 1 2 1 "ANI_FOLLOW1"
	@cmd	spawnGun7 "venn1" 20 0 -50 3 -1 "ANI_FOLLOW1"
	frame	data/bgs/beyond/lvl20/bck/tankcn16.gif
