name		kfyuri
type		player
health		150
mp		100
mprate          1
chargerate      2
speed		11
running		28 3.1 3 1 1
jumpheight	4
falldie		2
noquake		1
nodieblink	2
makeinv		3
riseinv		1
gfxshadow	1
holdblock 	1
modelflag	1
weaploss	3
dust            dust
weapons		kyuribike yuri kyuribike2 kyurifall kyurwtr kyurivent mapcurs mrzero
candamage	enemy obstacle
diesound        data/sounds/yurde.wav
atchain         1 1 2 3 4 0 5 6 7 0 8
combostyle      1
icon            data/chars/0yuri/kfyuri/icon.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145

animationscript	data/scripts/grabscript.c
ondrawscript	data/scripts/water_puddle_script.c
script		data/scripts/player_script.c

load	kohkn2
load	haskk2

palette    	data/chars/0yuri/kfyuri/map3.gif
alternatepal	data/chars/0yuri/kfyuri/map2.gif
alternatepal	data/chars/0yuri/kfyuri/map1.gif
alternatepal	data/chars/0yuri/kfyuri/mapal.gif
alternatepal	data/chars/0yuri/kfyuri/map4.gif
alternatepal	data/chars/0yuri/kfyuri/map5.gif
alternatepal	data/chars/0yuri/kfyuri/map6.gif
alternatepal	data/chars/0yuri/kfyuri/map7.gif



com     a3	  freespecial29
com     f d f a freespecial26
com	f d f s freespecial27
com	d f j     freespecial2
com	d f a   freespecial4
com	d f s     freespecial5
com	f d s	  freespecial6
com	f d a   freespecial7
com	a2	  freespecial15
com	d u s freespecial20












anim	attack1
	range	0 135
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	@cmd	attackgrd -75 75 0 1 20 "ANI_FOLLOW10"
	frame	data/chars/0yuri/kfyuri/a01.gif
	attack	144 110 80 26 10 0 0 0 1 0
	frame	data/chars/0yuri/kfyuri/a02.gif
	frame	data/chars/0yuri/kfyuri/a03.gif
	attack	0 0 0 0
	delay	5
	frame	data/chars/0yuri/kfyuri/a04.gif
		
anim	attack2
	range	0 60
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	sound	data/sounds/yur01.wav
	hitfx	data/sounds/beat2.wav
	frame	data/chars/0yuri/kfyuri/a07.gif
	frame	data/chars/0yuri/kfyuri/a08.gif
	attack	144 110 55 21 20 0 0 0 5 0
	frame	data/chars/0yuri/kfyuri/a09.gif
	frame	data/chars/0yuri/kfyuri/a10.gif
	attack	0 0 0 0
	delay	5
	frame	data/chars/0yuri/kfyuri/a11.gif
	frame	data/chars/0yuri/kfyuri/a07.gif
		
anim	attack3
	range	0 60
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/kfyuri/a17.gif
	frame	data/chars/0yuri/kfyuri/a18.gif
	attack2	140 120 50 34 30 0 0 0 7 0
	frame	data/chars/0yuri/kfyuri/a19.gif
	frame	data/chars/0yuri/kfyuri/a20.gif
	attack2	0 0 0 0
	frame	data/chars/0yuri/kfyuri/a21.gif
	delay	5
	frame	data/chars/0yuri/kfyuri/a22.gif
	frame	data/chars/0yuri/kfyuri/a23.gif
		
anim	attack4
	range	0 60
	rangez	-20 20
	loop	0
	delay	5
	offset	145 203
	bbox	132 115 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/kfyuri/b05.gif
	frame	data/chars/0yuri/kfyuri/b06.gif
	frame	data/chars/0yuri/kfyuri/b07.gif
	delay	6
	attack10	130 82 56 80 40 1 0 0 40 10
	dropv	5 0.5
	frame	data/chars/0yuri/kfyuri/b08.gif
	frame	data/chars/0yuri/kfyuri/b09.gif
	attack10	0 0 0 0
	delay	7
	frame	data/chars/0yuri/kfyuri/b10.gif
	frame	data/chars/0yuri/kfyuri/b11.gif
	frame	data/chars/0yuri/kfyuri/b12.gif
		
anim	attack5
	range	60 80
	rangez	-20 20
	loop	0
	delay	4
	offset	145 203
	bbox	132 115 33 80
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/yur02.wav
	frame	data/chars/0yuri/kfyuri/a27.gif
	frame	data/chars/0yuri/kfyuri/a28.gif
	attack	145 114 65 28 20 0 0 0 5 0
	frame	data/chars/0yuri/kfyuri/a29a.gif
	frame	data/chars/0yuri/kfyuri/a29b.gif
