name		Yuri
type		player
health		150
mp		100
mprate          2
chargerate      3
speed		12
running		28 3 3 1 0
jumpheight	4
falldie		2
noquake		1
nodieblink	2
makeinv		3
riseinv		2
gfxshadow	1
holdblock 	1
modelflag	1
weaploss	3
dust            dust
candamage	enemy obstacle
weapons		yuribike kfyuri yuribike2 yurifall yurwtr yurivent mapcurs mrzero
atchain         1 1 2 3 4 0 5 6 7 0 8 1 0
combostyle      1
icon            data/chars/0yuri/icon.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145

animationscript	data/scripts/grabscript.c
ondrawscript	data/scripts/water_puddle_script.c
script		data/scripts/player_script.c

load	hsken
load	hadok2




palette		data/chars/0yuri/mapal.gif
alternatepal	data/chars/0yuri/map1.gif
alternatepal	data/chars/0yuri/map2.gif
alternatepal	data/chars/0yuri/map3.gif
alternatepal	data/chars/0yuri/map4.gif



com     d f d f a freespecial26
com	d f d f s freespecial27

com	d f j     freespecial2
com	d f a     freespecial3
com	f d f a   freespecial4
com	d f s     freespecial5
com	f d s	  freespecial6
com	a2	  freespecial15
com	d u d u s freespecial20




anim	freespecial20
	energycost 55
	mponly	1
	weaponframe 14 2
	loop	0
	delay	16
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/win1.gif
	frame	data/chars/0yuri/win2.gif
	frame	data/chars/0yuri/win3.gif
	delay	5
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif
	frame	data/chars/0yuri/win3.gif
	frame	data/chars/0yuri/empty.gif



anim	freespecial15
	loop	0
	delay	12
	offset	145 205
	bbox	0 0 0 0
	sound	data/sounds/yurta.wav
	frame	data/chars/0yuri/taunt1.gif
	frame	data/chars/0yuri/taunt2.gif
	frame	data/chars/0yuri/taunt1.gif
	frame	data/chars/0yuri/taunt2.gif
	frame	data/chars/0yuri/taunt1.gif
	frame	data/chars/0yuri/taunt2.gif
	frame	data/chars/0yuri/taunt1.gif
	frame	data/chars/0yuri/taunt2.gif
	frame	data/chars/0yuri/taunt3.gif
	sound	data/sounds/beat2.wav
	@cmd	spawnAni3 "movelist" 240 300 440 "ANI_FOLLOW4"
	delay	6
	frame	data/chars/0yuri/taunt4.gif
	frame	data/chars/0yuri/taunt5.gif
	frame	data/chars/0yuri/taunt6.gif
	delay	12
	frame	data/chars/0yuri/taunt7.gif
	frame	data/chars/0yuri/taunt3.gif
	sound	data/sounds/beat2.wav
	delay	6
	frame	data/chars/0yuri/taunt4.gif
	frame	data/chars/0yuri/taunt5.gif
	frame	data/chars/0yuri/taunt6.gif
	delay	12
	frame	data/chars/0yuri/taunt7.gif
	frame	data/chars/0yuri/taunt3.gif
	sound	data/sounds/beat2.wav
	delay	6
	frame	data/chars/0yuri/taunt4.gif
	frame	data/chars/0yuri/taunt5.gif
	frame	data/chars/0yuri/taunt6.gif
	delay	12
	frame	data/chars/0yuri/taunt7.gif
	frame	data/chars/0yuri/taunt3.gif
	sound	data/sounds/beat2.wav
	delay	6
	frame	data/chars/0yuri/taunt4.gif
	frame	data/chars/0yuri/taunt5.gif #25
	frame	data/chars/0yuri/taunt6.gif
	delay	12
	frame	data/chars/0yuri/taunt7.gif


#--------------------//-grab-escape-beds-//-----------------------


anim	follow17
@script
	void self = getlocalvar("self");
	int eTime = openborvariant("elapsed_time");
	if (frame == 12)
	{
	changeentityproperty(self, "invincible", 1);
	changeentityproperty(self, "invinctime", eTime + 1000);
	changeentityproperty(self, "blink", 1);
	}
@end_script
	loop	0
	delay	800
	offset	145 205
	bbox	0 0 0 0
	frame	data/chars/0yuri/empty.gif
	delay	12
