name	      Ryoene
type          enemy
subtype       chase
health        100
speed		11
running		25 3 3 1 0
jumpheight	4
throw         5 2
throwdamage   18
noquake       1
grabdistance  50
grabforce	500
blockodds     1
nolife        1
falldie	      2
nodieblink    1
gfxshadow     1
dust            dust
projectilehit enemy obstacle
diesound        data/sounds/ryode.wav
animationscript data/scripts/escript.c


palette		data/chars/1ryo/map4.gif

load	FastRyoene


anim	death
	loop	0
	delay	15
	offset	145 204
	bbox	0 0 0 0
	frame	data/chars/1ryo/fall4.gif
	delay	9
	frame	data/chars/1ryo/rise1.gif
	frame	data/chars/1ryo/rise2.gif
	frame	data/chars/1ryo/rise3.gif


	frame	data/chars/1ryo/a01.gif
	delay	14
	frame	data/chars/1ryo/de02.gif
	frame	data/chars/1ryo/de01.gif
	frame	data/chars/1ryo/de02.gif
	frame	data/chars/1ryo/de03.gif
	frame	data/chars/1ryo/de03a.gif
	offset	170 204
	frame	data/chars/1ryo/de25.gif
	frame	data/chars/1ryo/de26.gif
	frame	data/chars/1ryo/de27.gif
	delay	100
	frame	data/chars/1ryo/de26.gif
	delay	14
	offset	145 204
	frame	data/chars/1ryo/de06.gif
	frame	data/chars/1ryo/de05.gif
	frame	data/chars/1ryo/de04.gif
	frame	data/chars/1ryo/rise3.gif
	frame	data/chars/1ryo/rkr04.gif
	frame	data/chars/1ryo/rkr03.gif
	frame	data/chars/1ryo/rkr02.gif
	frame	data/chars/1ryo/rkr01.gif
	delay	5
	frame	data/chars/1ryo/rkr01.gif
	@cmd	spawn01 "FastRyoene" 1 1 1
	frame	data/chars/1ryo/empty.gif
	frame	data/chars/1ryo/empty.gif
	frame	data/chars/1ryo/empty.gif
	@cmd	suicide
	frame	data/chars/1ryo/empty.gif




anim	attack1
	range	100 115
	delay	4
	offset	140 204
	bbox	128 105 39 97
	followanim	1
	followcond	1
	fastattack	1
	move	14
	frame	data/chars/1ryo/a01.gif
	move	0
	attack	149 115 72 20 7 0 0 0 21 0
	frame	data/chars/1ryo/a02.gif
	frame	data/chars/1ryo/a03.gif
	delay	5
	attack	0 0 0 0
	frame	data/chars/1ryo/a04.gif



anim	follow1
	delay	5
	offset	140 204
	bbox	128 105 39 97
	fastattack	1
	move	3
	frame	data/chars/1ryo/a03.gif
	frame	data/chars/1ryo/a03.gif
	frame	data/chars/1ryo/a04.gif
	frame	data/chars/1ryo/a01.gif
	frame	data/chars/1ryo/a01.gif
	attack	149 115 72 20 7 0 0 0 21 0
	frame	data/chars/1ryo/a02.gif
	frame	data/chars/1ryo/a02.gif
	move	0
	frame	data/chars/1ryo/a03.gif
	delay	4
	attack	0 0 0 0
	frame	data/chars/1ryo/a04.gif
	bbox	0 0 0 0
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/ryo01.wav
	frame	data/chars/1ryo/ba08.gif
	@cmd	dasher 0.6 0 0
	frame	data/chars/1ryo/ba09.gif
	frame	data/chars/1ryo/ba10.gif
	frame	data/chars/1ryo/ba11.gif
	frame	data/chars/1ryo/ba12.gif
	delay	7
	attack	145 75 30 77 12 1 1 0 35 0
	dropv	3 3 0
	frame	data/chars/1ryo/ba13.gif
	attack	151 97 72 50 12 1 1 0 35 0
	dropv	3 3 0
	frame	data/chars/1ryo/ba14.gif
	attack	161 125 75 35 12 1 1 0 35 0
	dropv	3 3 0
	frame	data/chars/1ryo/ba15.gif
	attack	0 0 0 0
	frame	data/chars/1ryo/ba16.gif
	frame	data/chars/1ryo/ba17.gif
	frame	data/chars/1ryo/ba18.gif
	@cmd	stop
	frame	data/chars/1ryo/ba19.gif
	frame	data/chars/1ryo/ba20.gif





anim	attack2
	range	75 90
	delay	4
	offset	140 204
	bbox	128 105 39 97
	followanim	2
	followcond	1
	fastattack	1
	move	7
	frame	data/chars/1ryo/a01.gif
	move	0
	attack	149 115 72 20 7 0 0 0 21 0
	frame	data/chars/1ryo/a02.gif
	frame	data/chars/1ryo/a03.gif
	delay	5
	attack	0 0 0 0
	frame	data/chars/1ryo/a04.gif


anim	follow2
	delay	5
	offset	140 204
	bbox	128 105 39 97
	fastattack	1
	move	3
	frame	data/chars/1ryo/a03.gif
	frame	data/chars/1ryo/a03.gif
	frame	data/chars/1ryo/a04.gif
	frame	data/chars/1ryo/a01.gif
	frame	data/chars/1ryo/a01.gif
	attack	149 115 72 20 7 0 0 0 21 0
	frame	data/chars/1ryo/a02.gif
	frame	data/chars/1ryo/a02.gif
	move	0
	frame	data/chars/1ryo/a03.gif
	delay	4
	attack	0 0 0 0
	frame	data/chars/1ryo/a04.gif
	offset	150 204
	bbox	130 105 39 97
	hitfx	data/sounds/beat3.wav
	frame	data/chars/1ryo/a06.gif
	frame	data/chars/1ryo/a07.gif
	frame	data/chars/1ryo/a08.gif
	attack2	152 129 70 21 8 0 1 0 20 0
	frame	data/chars/1ryo/a09.gif
	delay	7
	frame	data/chars/1ryo/a10.gif
	attack2	0 0 0 0
	frame	data/chars/1ryo/a11.gif
	delay	4
	offset	148 203
	bbox	0 0 0 0
	hitfx	data/sounds/beat2.wav
	sound	data/sounds/ryo01.wav
	frame	data/chars/1ryo/a26.gif
	delay	5
	frame	data/chars/1ryo/a27.gif
	frame	data/chars/1ryo/a28.gif
	attack	152 122 69 25 8 0 0 0 20 0
	frame	data/chars/1ryo/a29.gif
	delay	7
	attack	0 0 0 0
	frame	data/chars/1ryo/a30.gif
	frame	data/chars/1ryo/a36.gif
	delay	6
	offset	158 204
	hitfx	data/sounds/beat5.wav
