name		eveplr
type		player
health		150
mp	100
mprate          1
chargerate      2
speed		11
running		28 3 3 1 1
jumpheight	4
nodieblink	2
noquake         0
secret		0 1
falldie		2
makeinv		3
riseinv		1
modelflag	1
weaploss	3
gfxshadow	1
fmap		1
holdblock 	1
dust            dust
candamage	enemy obstacle
projectilehit 	player npc enemy
weapons		syuribike eveplr syuribike2 syurifall syurwtr syurivent mapcurs mrzero
atchain         1 1 2 3 0 4
combostyle      1
icon		data/chars/2badgirl10/iconpl.gif
parrow          data/chars/misc/flash/flash/player1.gif  -36 -145
parrow2         data/chars/misc/flash/flash/player2.gif  -36 -145
parrow3         data/chars/misc/flash/flash/player3.gif  -36 -145
diesound	data/sounds/bgdie4.wav

aggression	20

animationscript		data/scripts/grabscript.c
ondrawscript 		data/scripts/water_puddle_script.c
script			data/scripts/player_script.c

com	a3		freespecial29
com	d f a		freespecial1
com	d f j		freespecial2
com	f d a		freespecial9
com	d u s 		freespecial8
com	f d f s		freespecial27
com	a2		freespecial15
com	a4 		freespecial8




palette		data/chars/2badgirl10/map1.gif
alternatepal       data/chars/2badgirl10/map1.gif
alternatepal       data/chars/2badgirl10/map2.gif
alternatepal       data/chars/2badgirl10/map3.gif
alternatepal       data/chars/2badgirl10/map4.gif
alternatepal       data/chars/2badgirl10/idle01.gif
alternatepal       data/chars/2badgirl10/map5.gif
alternatepal       data/chars/2badgirl10/map6.gif
alternatepal       data/chars/2badgirl10/map7.gif
alternatepal       data/chars/2badgirl10/map8.gif
alternatepal       data/chars/2badgirl10/map9.gif


load	Evearm1
load	Evearm2
load	angelbed
load	whitepn








anim	attack1
	range	0 200
	rangez	-25 25
	loop	0
	delay	3
	offset	108 191
	bbox	93 97 35 91
	hitfx	data/sounds/beat2.wav
	frame	data/chars/2badgirl10/xa03.gif
	@cmd	attackgrd -60 60 0 1 10 "ANI_FOLLOW10"
	frame	data/chars/2badgirl10/xa04.gif
	attack	101 91 78 35 12 0 0 0 3 0
	frame	data/chars/2badgirl10/xa05.gif
	delay	3
	frame	data/chars/2badgirl10/xa06.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/xa07.gif
	frame	data/chars/2badgirl10/xa03.gif
		
anim	attack2
	range	0 70
	rangez	-25 25
	loop	0
	delay	4
	offset	108 191
	bbox	91 100 35 75
	move	1
	frame	data/chars/2badgirl10/a101.gif
	frame	data/chars/2badgirl10/a101a.gif
	attack2	100 110 70 35 20 0 0 0 14 0
	frame	data/chars/2badgirl10/a102.gif
	frame	data/chars/2badgirl10/a102a.gif
	attack2	0 0 0 0
	move	0
	frame	data/chars/2badgirl10/a103.gif
	frame	data/chars/2badgirl10/a101a.gif
	frame	data/chars/2badgirl10/a101.gif
		
anim	attack3
	range	0 70
	rangez	-25 25
	loop	0
	delay	5
	offset	108 191
	bbox	92 97 30 80
	move	2
	frame	data/chars/2badgirl10/a104.gif
	frame	data/chars/2badgirl10/a105.gif
	forcedirection	-1
	attack10	100 77 55 65 50 1 1 0 40 10
	dropv	5 0.7 0
	frame	data/chars/2badgirl10/a106.gif
	frame	data/chars/2badgirl10/a107.gif
	frame	data/chars/2badgirl10/a108.gif
	delay	7
	move	0
	frame	data/chars/2badgirl10/a109.gif
	attack10	0 0 0 0
	frame	data/chars/2badgirl10/a110.gif
	frame	data/chars/2badgirl10/a111.gif
		
anim	attack4
	range	70 200
	rangez	-25 25
	loop	0
	delay	5
	offset	108 191
	bbox	95 100 30 70
	fastattack	1
	cancel	5 10 1 a freespecial13
	seal	5 1
	hitfx	data/sounds/beat5.wav
	move	5
	frame	data/chars/2badgirl10/b01.gif
	frame	data/chars/2badgirl10/b02.gif
	sound	data/sounds/bgirl08.wav
	frame	data/chars/2badgirl10/b03.gif
	frame	data/chars/2badgirl10/b04.gif
	attack	100 90 90 45 30 0 0 0 25 0
	frame	data/chars/2badgirl10/b05.gif #4
	delay	6
	frame	data/chars/2badgirl10/b06.gif
	frame	data/chars/2badgirl10/b07.gif
	attack	0 0 0 0
	frame	data/chars/2badgirl10/b09.gif
	move	0
	frame	data/chars/2badgirl10/b10.gif
	frame	data/chars/2badgirl10/b11.gif
	frame	data/chars/2badgirl10/b12.gif #10
	frame	data/chars/2badgirl10/blk16.gif
		
anim	attackdown
	loop	0
	delay	6
	offset	108 191
	bbox	0 0 0 0
	frame	data/chars/2badgirl10/rise15.gif
