name	nomarm1
type	none
lifespan  15
shadow    0


alternatepal       data/chars/2badgirl13/map1.gif
alternatepal       data/chars/2badgirl13/map2.gif
alternatepal       data/chars/2badgirl13/map3.gif
alternatepal       data/chars/2badgirl13/map4.gif


anim	follow2
	loop	0
	delay	50
	offset	100 195
	bbox	0 0 0 0
	frame	data/chars/2badgirl13/xgrab03.gif
	delay	14
	frame	data/chars/2badgirl13/xgrab04.gif
	frame	data/chars/2badgirl13/xgrab05.gif
	frame	data/chars/2badgirl13/xgrab06.gif
	delay	25
	frame	data/chars/2badgirl13/xgrab07.gif
	frame	data/chars/2badgirl13/xgrab08.gif
	frame	data/chars/2badgirl13/xgrab09.gif
	delay	50
	frame	data/chars/2badgirl13/xgrab09.gif
	delay	10
	frame	data/chars/2badgirl13/xgrab10.gif
	frame	data/chars/2badgirl13/xgrab11.gif
	delay	8
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab13.gif
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab14.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab16.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab17.gif
	delay	10
	frame	data/chars/2badgirl13/xgrab10.gif
	frame	data/chars/2badgirl13/xgrab11.gif
	delay	8
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab13.gif
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab14.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab16.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab17.gif
	delay	10
	frame	data/chars/2badgirl13/xgrab10.gif
	frame	data/chars/2badgirl13/xgrab11.gif
	delay	8
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab13.gif
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab14.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab16.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab17.gif
	delay	10
	frame	data/chars/2badgirl13/xgrab10.gif
	frame	data/chars/2badgirl13/xgrab11.gif
	delay	8
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab13.gif
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab14.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab16.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab17.gif
	delay	10
	frame	data/chars/2badgirl13/xgrab10.gif
	frame	data/chars/2badgirl13/xgrab11.gif
	delay	8
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab13.gif
	frame	data/chars/2badgirl13/xgrab12.gif
	frame	data/chars/2badgirl13/xgrab14.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/xgrab16.gif
	frame	data/chars/2badgirl13/xgrab15.gif
	frame	data/chars/2badgirl13/empty.gif




anim	idle
	loop	0
	delay	50
	offset	100 195
	bbox	0 0 0 0
	frame	data/chars/2badgirl13/empty.gif
















		
#|edited by openBor Stats v 0.53
		
