name          gemma
type          enemy
health        1500
mp		3000
speed         17
jumpheight    4
throw         5 2
throwdamage   18
blockodds     1
nopassiveblock 1
paingrab      1
thold         80
escapehits    6
falldie	      2
nodieblink    1
gfxshadow     1
dust          dust
offscreenkill 	10000
candamage     player npc
hostile       player npc
projectilehit enemy npc obstacle
diesound      data/sounds/bguy12.wav
icon		data/chars/2officeguy9/icon.gif
icondie		data/chars/2officeguy9/icond.gif
animationscript data/scripts/escript.c


alternatepal       data/chars/2officeguy9/map1.gif
alternatepal       data/chars/2officeguy9/map2.gif
alternatepal       data/chars/2officeguy9/map3.gif
alternatepal       data/chars/2officeguy9/map4.gif
alternatepal       data/chars/2officeguy9/map5.gif





anim	attack1
	range	110 150
	loop	0
	delay	3
	offset	125 215
	bbox	95 97 50 100
	hitflash	Flash4
	hitfx	data/sounds/beat2.wav
	move	5
	frame	data/chars/2officeguy9/a100.gif
	frame	data/chars/2officeguy9/a100.gif
	sound	data/sounds/bguy01.wav
	frame	data/chars/2officeguy9/a100.gif
	frame	data/chars/2officeguy9/a100.gif
	frame	data/chars/2officeguy9/a101.gif
	frame	data/chars/2officeguy9/a101.gif
	frame	data/chars/2officeguy9/a101.gif
	frame	data/chars/2officeguy9/a101.gif
	attack3	113 95 105 50 17 0 0 0 45 0
	frame	data/chars/2officeguy9/a102.gif
	frame	data/chars/2officeguy9/a102.gif
	delay	14
	frame	data/chars/2officeguy9/a102.gif
	attack3	0 0 0 0
	delay	3
	frame	data/chars/2officeguy9/a103.gif
	sound	data/sounds/bguy02.wav
	frame	data/chars/2officeguy9/a103.gif
	frame	data/chars/2officeguy9/a103.gif
	frame	data/chars/2officeguy9/a103.gif
	frame	data/chars/2officeguy9/a104.gif
	frame	data/chars/2officeguy9/a104.gif
	move	0
	bbox	0 0 0 0
	delay	8
	move	4
	hitflash	flashscreen1
	hitfx	data/sounds/beat4.wav
	frame	data/chars/2officeguy9/a105.gif
	attack5	123 95 100 40 25 1 0 0 45 0
	dropv	3 4
	frame	data/chars/2officeguy9/a106.gif
	frame	data/chars/2officeguy9/x106.gif
	frame	data/chars/2officeguy9/a106.gif
	frame	data/chars/2officeguy9/x106.gif
	frame	data/chars/2officeguy9/a106.gif
	attack5	0 0 0 0
	bbox	95 97 50 100
	frame	data/chars/2officeguy9/a107.gif
	move	0
	frame	data/chars/2officeguy9/x107.gif
	frame	data/chars/2officeguy9/a107.gif
	frame	data/chars/2officeguy9/x107.gif
		
anim	attack2
	range	170 210
	loop	0
	delay	14
	offset	125 215
	bbox	95 97 50 100
	hitflash	Flash4
	hitfx	data/sounds/beat4.wav
	hitflash	flashscreen1
	frame	data/chars/2officeguy9/a108.gif
	delay	3
	move	7
	frame	data/chars/2officeguy9/a109.gif
	sound	data/sounds/bguy03.wav
	frame	data/chars/2officeguy9/a109.gif
	frame	data/chars/2officeguy9/a109.gif
	frame	data/chars/2officeguy9/a109.gif
	attack	110 105 90 45 25 1 0 0 45 0
	dropv	3 4
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a111.gif
	frame	data/chars/2officeguy9/a111.gif
	frame	data/chars/2officeguy9/a111.gif
	frame	data/chars/2officeguy9/a111.gif
	frame	data/chars/2officeguy9/a111.gif
	move	5
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	frame	data/chars/2officeguy9/a110.gif
	move	0
	delay	14
	frame	data/chars/2officeguy9/a110.gif
	attack	0 0 0 0
	frame	data/chars/2officeguy9/a109.gif
	frame	data/chars/2officeguy9/a108.gif
		
anim	attack4
	range	0 100
	rangez	-12 12
	loop	0
	delay	14
	offset	125 215
	bbox	95 97 50 100
	followanim	2
	followcond	1
	hitfx	data/sounds/grab.wav
	frame	data/chars/2officeguy9/grab00.gif
	attack	120 115 115 75 0 0 1 1 20 17
	frame	data/chars/2officeguy9/grab01.gif
	frame	data/chars/2officeguy9/grab00.gif
	attack	0 0 0 0
	frame	data/chars/2officeguy9/grab00.gif
		
anim	attack5
	range	70 150
	rangez	5 45
	loop	0
	delay	5
	offset	125 215
	bbox	95 97 50 100
	followanim	4
	followcond	1
	hitfx	data/sounds/grab.wav
	move	5
	movez	2
	frame	data/chars/2officeguy9/grab10.gif
	frame	data/chars/2officeguy9/grab10.gif
	frame	data/chars/2officeguy9/grab10.gif
	attack	105 120 90 75 0 0 1 1 20 20
	frame	data/chars/2officeguy9/grab11.gif
	frame	data/chars/2officeguy9/grab11.gif
	frame	data/chars/2officeguy9/grab11.gif
	frame	data/chars/2officeguy9/grab11.gif
	frame	data/chars/2officeguy9/grab11.gif
	frame	data/chars/2officeguy9/grab11.gif
	move	0
	movez	0
	delay	12
	frame	data/chars/2officeguy9/grab11.gif
	attack	0 0 0 0
	frame	data/chars/2officeguy9/rise4.gif
	frame	data/chars/2officeguy9/rise5.gif
		
anim	block
	loop	0
	delay	2
	offset	125 215
	bbox	95 97 50 100
	move	-6
	frame	data/chars/2officeguy9/block01.gif
	frame	data/chars/2officeguy9/block01.gif
	frame	data/chars/2officeguy9/block01.gif
	frame	data/chars/2officeguy9/block02.gif
	frame	data/chars/2officeguy9/block02.gif
	delay	20
	frame	data/chars/2officeguy9/block02.gif
	bbox	0 0 0 0
	delay	16
