name	  tank1crash
type	  none
lifespan  7
subject_to_gravity 0





anim	idle
	delay	5
	loop	0
	offset	145 155
	jumpframe	1 0.2 -0.2
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/brk05.gif
	frame	data/chars/2tank1/brk/brk06.gif
	frame	data/chars/2tank1/brk/brk07.gif
	frame	data/chars/2tank1/brk/brk08.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/brk05.gif
	frame	data/chars/2tank1/brk/brk06.gif
	frame	data/chars/2tank1/brk/brk07.gif
	frame	data/chars/2tank1/brk/brk08.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/brk05.gif
	frame	data/chars/2tank1/brk/brk06.gif
	frame	data/chars/2tank1/brk/brk07.gif
	frame	data/chars/2tank1/brk/brk08.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk05.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk06.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk07.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk08.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk05.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk06.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk07.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk08.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk01.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk02.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk03.gif
	frame	data/chars/2tank1/brk/empty.gif
	frame	data/chars/2tank1/brk/brk04.gif
	frame	data/chars/2tank1/brk/empty.gif
		
#|edited by openBor Stats v 0.53
		
