name          MrBig2
type          enemy	
health        100
mp		3000
speed         25
jumpheight    4
jumpmove      0 4
throw         5 2
throwdamage   18
shadow        0
blockodds     1
nopassiveblock 1
escapehits    5
noquake       1
nolife        1
nodieblink    3
falldie       2
gfxshadow     1
thold         80
dust            dust
candamage     player npc
hostile       player npc
projectilehit enemy npc obstacle
candamage player
diesound      data/sounds/big07.wav
animationscript data/scripts/escript.c

alternatepal       data/chars/3Mrbig/map1.gif


load	mbig2tlk
load	pw1
load	pw12






anim	attack1
	range	60 110
	rangez	-15 15
	loop	0
	delay	2
	offset	104 190
	bbox	76 93 56 89
	followanim	1
	followcond	1
	fastattack	1
	sound	data/sounds/big04.wav
	move	5
	frame	data/chars/3Mrbig/a101.gif
	frame	data/chars/3Mrbig/a101.gif
	frame	data/chars/3Mrbig/a101.gif
	frame	data/chars/3Mrbig/a102.gif
	frame	data/chars/3Mrbig/a102.gif
	frame	data/chars/3Mrbig/a102.gif
	move	0
	delay	7
	attack	128 92 75 35 8 0 0 0 15 18
	frame	data/chars/3Mrbig/a103.gif
	attack	0 0 0 0
	frame	data/chars/3Mrbig/a104.gif
	frame	data/chars/3Mrbig/a102.gif
		
anim	attack2
	range	160 210
	loop	0
	delay	9
	offset	104 190
	bbox	76 93 56 89
	followanim	3
	followcond	1
	frame	data/chars/3Mrbig/crs01.gif
	frame	data/chars/3Mrbig/crs02.gif
	delay	2
	move	10
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp01.gif
	attack3	128 92 75 35 0 0 1 1 25 0
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp03.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp01.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp04.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp02.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp01.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp03.gif
	frame	data/chars/3Mrbig/sp04.gif
	frame	data/chars/3Mrbig/sp04.gif
	sound	data/sounds/run.wav
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp01.gif
	frame	data/chars/3Mrbig/sp02.gif
	frame	data/chars/3Mrbig/sp02.gif
	attack3	0 0 0 0
	frame	data/chars/3Mrbig/crs01.gif
	frame	data/chars/3Mrbig/crs01.gif
	frame	data/chars/3Mrbig/crs01.gif
	frame	data/chars/3Mrbig/crs01.gif
	move	4
	frame	data/chars/3Mrbig/crs02.gif
	frame	data/chars/3Mrbig/crs02.gif
	frame	data/chars/3Mrbig/crs02.gif
	frame	data/chars/3Mrbig/crs02.gif
	move	0
	frame	data/chars/3Mrbig/crs02.gif
	frame	data/chars/3Mrbig/crs02.gif
		
anim	attack4
	range	280 400
	rangez	-30 30
	loop	0
	delay	10
	offset	104 190
	bbox	76 93 56 89
	sound	data/sounds/mbig1.wav
	frame	data/chars/3Mrbig/a201.gif
	frame	data/chars/3Mrbig/a202.gif
	frame	data/chars/3Mrbig/a203.gif
	delay	6
	offset	72 190
	frame	data/chars/3Mrbig/a205.gif
	frame	data/chars/3Mrbig/a206.gif
	frame	data/chars/3Mrbig/a207.gif
	attack	110 70 80 70 8 0 0 0 15 8
	dropv	4 1 0
	frame	data/chars/3Mrbig/a208.gif
	frame	data/chars/3Mrbig/a209.gif
	@cmd	projectile 1 "pw1" 30 10 80
	frame	data/chars/3Mrbig/a210.gif
	frame	data/chars/3Mrbig/a211.gif
	attack	0 0 0 0
	frame	data/chars/3Mrbig/a212.gif
	frame	data/chars/3Mrbig/a213.gif
	frame	data/chars/3Mrbig/a214.gif
	frame	data/chars/3Mrbig/a215.gif
	frame	data/chars/3Mrbig/a216.gif
	frame	data/chars/3Mrbig/a217.gif
	delay	12
	offset	104 190
	frame	data/chars/3Mrbig/idle01.gif
	frame	data/chars/3Mrbig/idle02.gif
		
anim	attack5
	loop	0
	delay	12
	offset	110 190
	range	170 220
	rangez	35 70
	bbox	76 93 56 89
	followanim	4
	followcond	1
	frame	data/chars/3Mrbig/es01.gif
	sound	data/sounds/big05.wav
	frame	data/chars/3Mrbig/es02.gif
	frame	data/chars/3Mrbig/es03.gif
	frame	data/chars/3Mrbig/es04.gif
	frame	data/chars/3Mrbig/es05.gif
	frame	data/chars/3Mrbig/es06.gif
	delay	6
	@cmd	target 3 1 1 1 0
	@cmd	dash
	attack	35 92 140 35 8 0 0 0 15 20
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	attack	0 0 0 0
	@cmd	stop
	delay	12
	frame	data/chars/3Mrbig/es05.gif
	frame	data/chars/3Mrbig/es04.gif
	frame	data/chars/3Mrbig/es03.gif
	frame	data/chars/3Mrbig/es02.gif
	frame	data/chars/3Mrbig/es01.gif
		
anim	attack6
	loop	0
	delay	12
	offset	110 190
	range	170 220
	rangez	-70 -35
	bbox	76 93 56 89
	followanim	4
	followcond	1
	frame	data/chars/3Mrbig/es01.gif
	sound	data/sounds/big05.wav
	frame	data/chars/3Mrbig/es02.gif
	frame	data/chars/3Mrbig/es03.gif
	frame	data/chars/3Mrbig/es04.gif
	frame	data/chars/3Mrbig/es05.gif
	frame	data/chars/3Mrbig/es06.gif
	delay	6
	@cmd	target 3 1 1 1 0
	@cmd	dash
	attack	35 92 140 35 8 0 0 0 15 20
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	@cmd	target 3 1 1 1 0
	@cmd	dash
	frame	data/chars/3Mrbig/es07.gif
	frame	data/chars/3Mrbig/es08.gif
	sound	data/sounds/punch2.wav
	frame	data/chars/3Mrbig/es09.gif
	frame	data/chars/3Mrbig/es10.gif
	attack	0 0 0 0
	@cmd	stop
	delay	12
	frame	data/chars/3Mrbig/es05.gif
	frame	data/chars/3Mrbig/es04.gif
	frame	data/chars/3Mrbig/es03.gif
	frame	data/chars/3Mrbig/es02.gif
	frame	data/chars/3Mrbig/es01.gif
		
anim	attack7
	range	-40 90
	rangez	-70 -40
	loop	0
	delay	1
	offset	110 190
	bbox	0 0 0 0
	followanim	6
	followcond	1
	movez	-2
	frame	data/chars/3Mrbig/b101.gif
	frame	data/chars/3Mrbig/b101.gif
	sound	data/sounds/big01.wav
	frame	data/chars/3Mrbig/b101.gif
	frame	data/chars/3Mrbig/b101.gif
	frame	data/chars/3Mrbig/b101.gif
	frame	data/chars/3Mrbig/b101.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b102.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b103.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b104.gif
	frame	data/chars/3Mrbig/b105.gif
	frame	data/chars/3Mrbig/b105.gif
	frame	data/chars/3Mrbig/b105.gif
	frame	data/chars/3Mrbig/b105.gif
	frame	data/chars/3Mrbig/b105.gif
	frame	data/chars/3Mrbig/b105.gif
	movez	0
	delay	9
	frame	data/chars/3Mrbig/hd01.gif
	frame	data/chars/3Mrbig/hd02.gif
	attack	60 115 115 50 0 0 0 1 15 25
	frame	data/chars/3Mrbig/hd03.gif
	delay	15
	frame	data/chars/3Mrbig/hd04.gif
