name          pipas
type	      npc
subtype       follow
health        5000
speed         17
jumpheight    4
throw         5 2
throwdamage   18
shadow        0
noquake       1
nolife        1
falldie	      2
nodieblink    3
gfxshadow     1
dust            dust
projectilehit player
candamage     enemy obstacle
subject_to_screen 1

diesound      data/sounds/die4.wav
animationscript data/scripts/escript.c

load	pipastlk


palette		data/chars/3pipas/map.gif
      

anim	attack1
	range	10 80
	loop	0
	delay	8
	offset	100 189
	bbox	79 97 50 91
	fastattack	1
	attackone	1
	followanim	1
	followcond	3
	hitfx	data/sounds/beat2.wav
	frame	data/chars/3pipas/a101.gif
	frame	data/chars/3pipas/a102.gif
	attack	120 95 60 25 5 0 0 0 18 0
	frame	data/chars/3pipas/a103.gif
	attack	0 0 0 0
	frame	data/chars/3pipas/a104.gif


anim	death
	loop	0
	delay	12
	offset	100 189
	bbox	0 0 0 0
	frame	data/chars/3pipas/rise1.gif
	frame	data/chars/3pipas/det01.gif
	frame	data/chars/3pipas/det01.gif
	frame	data/chars/3pipas/det01.gif
	frame	data/chars/3pipas/det01.gif

		
anim	attack2
	range	180 220
	loop	0
	delay	2
	offset	100 189
	bbox	0 0 0 0
	move	5
	hitfx	data/sounds/beat3.wav
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b101.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	frame	data/chars/3pipas/b103.gif
	frame	data/chars/3pipas/b102.gif
	move	0
	delay	12
	bbox	79 97 50 91
	frame	data/chars/3pipas/b104.gif
	attack	100 115 80 35 5 1 0 0 40 0
	dropv	4 3 0
	frame	data/chars/3pipas/b105.gif
	delay	45
	frame	data/chars/3pipas/b106.gif
	attack	0 0 0 0
	delay	12
	frame	data/chars/3pipas/b104.gif
		
anim	attack3
	range	220 260
	loop	0
	delay	25
	offset	100 189
	bbox	79 97 50 91
	jumpframe	1 5 3 0
	landframe	8
	hitfx	data/sounds/beat1.wav
	frame	data/chars/3pipas/rise6.gif
	delay	25
	frame	data/chars/3pipas/ju01.gif
	delay	9
	frame	data/chars/3pipas/ju02.gif
	frame	data/chars/3pipas/ju03.gif
	frame	data/chars/3pipas/ju04.gif
	frame	data/chars/3pipas/ju05.gif
	bbox	125 150 43 61
	frame	data/chars/3pipas/ju06.gif
	delay	100
	attack	95 125 79 45 5 1 1 0 30 0
	frame	data/chars/3pipas/ju07.gif
	delay	20
	attack	0 0 0 0
	bbox	79 97 50 91
	frame	data/chars/3pipas/rise6.gif
		
anim	burn
	loop	0
	delay	30
	offset	100 189
	bbox	0 0 0 0
	landframe 3
	drawmethod	tintmode 4
	drawmethod	tintcolor 200_50_0
	@cmd	spawnbind "burn1" 1 1 1
	@cmd	spawnbind "burn2" 1 1 1
	@cmd	spawnbind "burn3" 1 1 1
	attack	75 103 29 43 5 1 0 0 13
	frame	data/chars/3pipas/fall1.gif
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/3pipas/fall2.gif
	delay	500
	frame	data/chars/3pipas/fall3.gif
	attack	0 0 0 0
	delay	10
	frame	data/chars/3pipas/fall4.gif
	frame	data/chars/3pipas/fall4.gif
		
anim	fall
	loop	0
	delay	30
	offset	100 189
	bbox	0 0 0 0
	landframe 3
	attack	75 103 29 43 5 1 0 0 13
	frame	data/chars/3pipas/fall1.gif
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/3pipas/fall2.gif
	delay	500
	frame	data/chars/3pipas/fall3.gif
	attack	0 0 0 0
	delay	10
	frame	data/chars/3pipas/fall4.gif
	frame	data/chars/3pipas/fall4.gif
		
anim	fall10
	loop	0
	delay	50
	offset	100 189
	bbox	79 97 50 91
	landframe 3 dust
	attack	78 104 28 44 5 1 0 0 13
	frame	data/chars/3pipas/pain6.gif
	delay	30
	bbox	71 132 63 30
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/3pipas/fall2.gif
	delay	1000
	bbox	77 154 67 31
	attack	0 0 0 0
	frame	data/chars/3pipas/fall3.gif
	bbox	0 0 0 0
	delay	10
	frame	data/chars/3pipas/fall4.gif
	frame	data/chars/3pipas/fall4.gif
		
anim	fall2
	loop	0
	delay	30
	offset	102 189
	bbox	0 0 0 0
	landframe 3 dust
	attack	78 104 28 44 5 1 0 0 13
	frame	data/chars/3pipas/pain6.gif
	attack	64 134 40 22 5 1 0 0 13
	frame	data/chars/3pipas/fall2.gif
	attack	0 0 0 0
	delay	500
	frame	data/chars/3pipas/fall3.gif
	delay	20
	frame	data/chars/3pipas/fall4.gif
	frame	data/chars/3pipas/fall4.gif
		
anim	fall7
	delay	1000
	offset	45 95
	frame	data/chars/3pipas/slam0.gif
	offset	45 95
	frame	data/chars/3pipas/slam1.gif
	offset	50 85
	frame	data/chars/3pipas/slam2.gif
	offset	45 95
	frame	data/chars/3pipas/slam3.gif
	offset	45 95
	frame	data/chars/3pipas/slam4.gif
	offset	75 55
	frame	data/chars/3pipas/slam5.gif
	offset	40 80
	frame	data/chars/3pipas/slam6.gif
	offset	20 90
