name		ufa1
type		enemy
health		200
cantgrab	1
speedf		1.4
jumpheight	0
noquake		1
falldie		1
nodieblink	1
makeinv		3
nolife		1
gfxshadow	1
nodrop		1
aggression      225
nopain		1
subject_to_hole 0
hostile				player npc
candamage			player npc
diesound        data/sounds/empty.wav
animationscript data/scripts/escript.c





anim	attack1
	range	100 150
	loop	0
	delay	7
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
	frame	data/chars/beyond/1bug1/idle02.gif
	frame	data/chars/beyond/1bug1/idle03.gif
	frame	data/chars/beyond/1bug1/idle04.gif
	frame	data/chars/beyond/1bug1/idle05.gif
	frame	data/chars/beyond/1bug1/idle06.gif
	frame	data/chars/beyond/1bug1/idle07.gif
	frame	data/chars/beyond/1bug1/idle08.gif
	frame	data/chars/beyond/1bug1/idle09.gif
	frame	data/chars/beyond/1bug1/idle10.gif
	@cmd	beidle
	frame	data/chars/beyond/1bug1/idle10.gif
		
anim	death
	loop	0
	delay	10
	offset	145 255
	bbox	0 0 0 0
	frame	data/chars/beyond/1bug1/idle01.gif
	frame	data/chars/beyond/1bug1/idle02.gif
	frame	data/chars/beyond/1bug1/idle03.gif
	frame	data/chars/beyond/1bug1/idle04.gif
	frame	data/chars/beyond/1bug1/idle05.gif
	frame	data/chars/beyond/1bug1/idle06.gif
	frame	data/chars/beyond/1bug1/idle07.gif
	frame	data/chars/beyond/1bug1/idle08.gif
	frame	data/chars/beyond/1bug1/idle09.gif
	frame	data/chars/beyond/1bug1/idle10.gif
		
anim	fall
	loop	0
	delay	5
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
		
anim	idle
	loop	1
	delay	7
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
	frame	data/chars/beyond/1bug1/idle02.gif
	frame	data/chars/beyond/1bug1/idle03.gif
	frame	data/chars/beyond/1bug1/idle04.gif
	frame	data/chars/beyond/1bug1/idle05.gif
	frame	data/chars/beyond/1bug1/idle06.gif
	frame	data/chars/beyond/1bug1/idle07.gif
	frame	data/chars/beyond/1bug1/idle08.gif
	frame	data/chars/beyond/1bug1/idle09.gif
	frame	data/chars/beyond/1bug1/idle10.gif
		
anim	pain
	loop	0
	delay	5
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
		
anim	pain2
	loop	0
	delay	5
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
		
anim	rise
	loop	0
	delay	5
	offset	145 255
	bbox	100 50 110 71
	frame	data/chars/beyond/1bug1/idle01.gif
		
anim	spawn
	loop	0
	delay	10
	offset	145 255
	bbox	0 0 0 0
	frame	data/chars/beyond/1bug1/idle01.gif
		
#|edited by openBor Stats v 0.53
		
