name	 tentcl
type	 none
falldie		1
nolife		1
shadow		0
hostile         player
candamage       player

animationscript data/scripts/escript.c

load	tentcl2
load	venn1
load	ovrshoot

palette	data/chars/beyond/3overlord/tent/map1.gif






anim	follow1
	loop	0
	delay	4
	offset	100 235
	bbox	0 0 0 0
	hitflash	Flash6
	hitfx	data/sounds/sl1.wav
	sound	data/sounds/overlord06.wav
	frame	data/chars/beyond/3overlord/tent/a01.gif
	@cmd	spawnbind4 "tentcl2" 0 0 0 1 4
	frame	data/chars/beyond/3overlord/tent/a02.gif
	frame	data/chars/beyond/3overlord/tent/a03.gif
	@cmd	spawnbind6 "tentcl2" 100 0 30 "ANI_FOLLOW20"
	frame	data/chars/beyond/3overlord/tent/a04.gif
	frame	data/chars/beyond/3overlord/tent/a05.gif
	@cmd	spawnbind6 "tentcl2" 160 0 50 "ANI_FOLLOW20"
	frame	data/chars/beyond/3overlord/tent/a06.gif
	frame	data/chars/beyond/3overlord/tent/a07.gif
	@cmd	spawnbind6 "tentcl2" 210 0 70 "ANI_FOLLOW20"
	frame	data/chars/beyond/3overlord/tent/a08.gif
	frame	data/chars/beyond/3overlord/tent/a09.gif
	@cmd	spawnbind6 "tentcl2" 270 0 90 "ANI_FOLLOW20"
	frame	data/chars/beyond/3overlord/tent/a10.gif
	frame	data/chars/beyond/3overlord/tent/a11.gif
	frame	data/chars/beyond/3overlord/tent/a12.gif
	@cmd	spawnbind6 "tentcl2" 300 0 110 "ANI_FOLLOW20"
	frame	data/chars/beyond/3overlord/tent/a13.gif
	frame	data/chars/beyond/3overlord/tent/a14.gif
	frame	data/chars/beyond/3overlord/tent/a13.gif
	frame	data/chars/beyond/3overlord/tent/a12.gif
	frame	data/chars/beyond/3overlord/tent/a11.gif
	frame	data/chars/beyond/3overlord/tent/a10.gif
	frame	data/chars/beyond/3overlord/tent/a09.gif
	frame	data/chars/beyond/3overlord/tent/a08.gif
	frame	data/chars/beyond/3overlord/tent/a07.gif
	frame	data/chars/beyond/3overlord/tent/a06.gif
	frame	data/chars/beyond/3overlord/tent/a05.gif
	frame	data/chars/beyond/3overlord/tent/a04.gif
	frame	data/chars/beyond/3overlord/tent/a03.gif
	frame	data/chars/beyond/3overlord/tent/a02.gif
	frame	data/chars/beyond/3overlord/tent/a01.gif
	@cmd	beidle
	frame	data/chars/beyond/3overlord/tent/a01.gif
		
anim	follow11
	loop	0
	delay	8
	offset	218 182
	bbox	0 0 0 0
	frame	data/chars/beyond/3overlord/tent/tlsp01.gif
	@cmd	spawnGun7 "venn1" -20 60 -2 6 1 "ANI_FOLLOW1"
	@cmd	spawnGun7 "venn1" -5 50 -1 5 1 "ANI_FOLLOW1"
	frame	data/chars/beyond/3overlord/tent/tlsp02.gif
	frame	data/chars/beyond/3overlord/tent/tlsp01.gif
	frame	data/chars/beyond/3overlord/tent/tlsp02.gif
	frame	data/chars/beyond/3overlord/tent/tlsp01.gif
	frame	data/chars/beyond/3overlord/tent/tlsp02.gif
	frame	data/chars/beyond/3overlord/tent/tlsp03.gif
	frame	data/chars/beyond/3overlord/tent/tlsp04.gif
	frame	data/chars/beyond/3overlord/tent/tlsp03.gif
	frame	data/chars/beyond/3overlord/tent/tlsp04.gif
	frame	data/chars/beyond/3overlord/tent/tlsp03.gif
	frame	data/chars/beyond/3overlord/tent/tlsp04.gif
	frame	data/chars/beyond/3overlord/tent/tlsp05.gif
	frame	data/chars/beyond/3overlord/tent/tlsp06.gif
	frame	data/chars/beyond/3overlord/tent/tlsp05.gif
	frame	data/chars/beyond/3overlord/tent/tlsp06.gif
	frame	data/chars/beyond/3overlord/tent/tlsp05.gif
	frame	data/chars/beyond/3overlord/tent/tlsp06.gif
	frame	data/chars/beyond/3overlord/tent/tlsp07.gif
	frame	data/chars/beyond/3overlord/tent/tlsp08.gif
	frame	data/chars/beyond/3overlord/tent/tlsp07.gif
	frame	data/chars/beyond/3overlord/tent/tlsp08.gif
	frame	data/chars/beyond/3overlord/tent/tlsp07.gif
	frame	data/chars/beyond/3overlord/tent/tlsp08.gif
	frame	data/chars/beyond/3overlord/tent/tlsp09.gif
	frame	data/chars/beyond/3overlord/tent/tlsp10.gif
	frame	data/chars/beyond/3overlord/tent/tlsp09.gif
	frame	data/chars/beyond/3overlord/tent/tlsp10.gif
	frame	data/chars/beyond/3overlord/tent/tlsp09.gif
	frame	data/chars/beyond/3overlord/tent/tlsp10.gif
	frame	data/chars/beyond/3overlord/tent/tlsp11.gif
	frame	data/chars/beyond/3overlord/tent/tlsp12.gif
	frame	data/chars/beyond/3overlord/tent/tlsp11.gif
	frame	data/chars/beyond/3overlord/tent/tlsp12.gif
	frame	data/chars/beyond/3overlord/tent/tlsp11.gif
	frame	data/chars/beyond/3overlord/tent/tlsp12.gif #35
	frame	data/chars/beyond/3overlord/tent/tlsp13.gif
	delay	5
	frame	data/chars/beyond/3overlord/tent/tlsp14.gif #37
	frame	data/chars/beyond/3overlord/tent/tlsp15.gif
