name		grabovr
type		npc
stealth                 1
nolife			1
speed			0
nomove			1 
noquake			1
shadow			0
falldie			1
antigrab		10
offscreenkill 	        20000
subject_to_wall		0
subject_to_platform 	0
subject_to_obstacle 	0
subject_to_hole 	0
subject_to_gravity 	0
subject_to_minz		0
subject_to_maxz		0
setlayer	999900000
diesound        data/sounds/empty.wav

animationscript data/scripts/escript.c

palette		data/chars/misc/grab/grab04.gif


anim	idle
	loop	1 2 9
	delay	4
	offset	55 75
	bbox	0 0 0 0
	frame	data/chars/beyond/grabs/heat/a04.gif
	@cmd	stop
	frame	data/chars/beyond/grabs/heat/a04.gif
	frame	data/chars/misc/grab/grab04.gif
	frame	data/chars/misc/grab/grab05.gif
	frame	data/chars/misc/grab/grab04.gif
	frame	data/chars/misc/grab/grab06.gif
	frame	data/chars/misc/grab/grab04.gif
	frame	data/chars/misc/grab/grab05.gif
	frame	data/chars/misc/grab/grab04.gif
	frame	data/chars/misc/grab/grab06.gif
		
#|edited by openBor Stats v 0.67
		
