name	 tvwave
type	 none
alpha	1
offscreenkill 	10000
subject_to_gravity 0
subject_to_minz 0
subject_to_maxz 0




anim	follow1
	loop	1
	delay	5
	offset	220 350
	frame	data/chars/beyond/stuff/tvwave/b0.png
	frame	data/chars/beyond/stuff/tvwave/b1.png
	frame	data/chars/beyond/stuff/tvwave/b2.png
	frame	data/chars/beyond/stuff/tvwave/b3.png
	frame	data/chars/beyond/stuff/tvwave/b4.png
	frame	data/chars/beyond/stuff/tvwave/b5.png
	frame	data/chars/beyond/stuff/tvwave/b6.png
	frame	data/chars/beyond/stuff/tvwave/b7.png
	frame	data/chars/beyond/stuff/tvwave/b8.png
	frame	data/chars/beyond/stuff/tvwave/b9.png
	frame	data/chars/beyond/stuff/tvwave/b10.png
	frame	data/chars/beyond/stuff/tvwave/b11.png
	frame	data/chars/beyond/stuff/tvwave/b12.png
	frame	data/chars/beyond/stuff/tvwave/b13.png
	frame	data/chars/beyond/stuff/tvwave/b14.png
	frame	data/chars/beyond/stuff/tvwave/b15.png
	frame	data/chars/beyond/stuff/tvwave/b16.png
	frame	data/chars/beyond/stuff/tvwave/b17.png
	frame	data/chars/beyond/stuff/tvwave/b18.png
	frame	data/chars/beyond/stuff/tvwave/b19.png
	frame	data/chars/beyond/stuff/tvwave/b20.png
	frame	data/chars/beyond/stuff/tvwave/b21.png
	frame	data/chars/beyond/stuff/tvwave/b22.png
	frame	data/chars/beyond/stuff/tvwave/b23.png
	frame	data/chars/beyond/stuff/tvwave/b24.png
	frame	data/chars/beyond/stuff/tvwave/b25.png
	frame	data/chars/beyond/stuff/tvwave/b26.png
	frame	data/chars/beyond/stuff/tvwave/b27.png
	frame	data/chars/beyond/stuff/tvwave/b28.png
	frame	data/chars/beyond/stuff/tvwave/b29.png
	frame	data/chars/beyond/stuff/tvwave/b30.png
	frame	data/chars/beyond/stuff/tvwave/b31.png
	frame	data/chars/beyond/stuff/tvwave/b32.png
	frame	data/chars/beyond/stuff/tvwave/b33.png
	frame	data/chars/beyond/stuff/tvwave/b34.png
	frame	data/chars/beyond/stuff/tvwave/b35.png
	frame	data/chars/beyond/stuff/tvwave/b36.png
	frame	data/chars/beyond/stuff/tvwave/b37.png
	frame	data/chars/beyond/stuff/tvwave/b38.png
	frame	data/chars/beyond/stuff/tvwave/b39.png
	frame	data/chars/beyond/stuff/tvwave/b40.png
	frame	data/chars/beyond/stuff/tvwave/b41.png
	frame	data/chars/beyond/stuff/tvwave/b42.png
	frame	data/chars/beyond/stuff/tvwave/b43.png
	frame	data/chars/beyond/stuff/tvwave/b44.png
		
anim	idle
	loop	1
	delay	12
	offset	50 30
	frame	data/chars/beyond/stuff/tvwave/a00.png
	frame	data/chars/beyond/stuff/tvwave/a01.png
	frame	data/chars/beyond/stuff/tvwave/a02.png
	frame	data/chars/beyond/stuff/tvwave/a03.png
	frame	data/chars/beyond/stuff/tvwave/a04.png
	frame	data/chars/beyond/stuff/tvwave/a05.png
	frame	data/chars/beyond/stuff/tvwave/a06.png
	frame	data/chars/beyond/stuff/tvwave/a07.png
	frame	data/chars/beyond/stuff/tvwave/a08.png
	frame	data/chars/beyond/stuff/tvwave/a09.png
	frame	data/chars/beyond/stuff/tvwave/a10.png
	frame	data/chars/beyond/stuff/tvwave/a11.png
	frame	data/chars/beyond/stuff/tvwave/a12.png
	frame	data/chars/beyond/stuff/tvwave/a13.png
	frame	data/chars/beyond/stuff/tvwave/a14.png
	frame	data/chars/beyond/stuff/tvwave/a15.png
	frame	data/chars/beyond/stuff/tvwave/a16.png
	frame	data/chars/beyond/stuff/tvwave/a17.png
	frame	data/chars/beyond/stuff/tvwave/a18.png
	frame	data/chars/beyond/stuff/tvwave/a19.png
	frame	data/chars/beyond/stuff/tvwave/a20.png
	frame	data/chars/beyond/stuff/tvwave/a21.png
	frame	data/chars/beyond/stuff/tvwave/a22.png
	frame	data/chars/beyond/stuff/tvwave/a23.png
	frame	data/chars/beyond/stuff/tvwave/a24.png
	frame	data/chars/beyond/stuff/tvwave/a25.png
	frame	data/chars/beyond/stuff/tvwave/a26.png
	frame	data/chars/beyond/stuff/tvwave/a27.png
	frame	data/chars/beyond/stuff/tvwave/a28.png
	frame	data/chars/beyond/stuff/tvwave/a29.png
	frame	data/chars/beyond/stuff/tvwave/a30.png
	frame	data/chars/beyond/stuff/tvwave/a31.png
	frame	data/chars/beyond/stuff/tvwave/a32.png
	frame	data/chars/beyond/stuff/tvwave/a33.png
	frame	data/chars/beyond/stuff/tvwave/a34.png
		
#|edited by openBor Stats v 0.53
		
