name	 choppene1
type     none
health   0
nolife   1
candamage	enemy obstacle
subject_to_gravity 0
setlayer	10
lifespan  	5






anim	idle
	loop	1
	delay	7
	offset	145 235
	bbox	0 0 0 0
	move	6
	frame	data/chars/misc/car/Mtruck/2choppafire01.gif
	attack2	0 130 300 120 30 1 1 0 10 30
	frame	data/chars/misc/car/Mtruck/2choppafire02.gif
	frame	data/chars/misc/car/Mtruck/2choppafire03.gif
	frame	data/chars/misc/car/Mtruck/2choppafire04.gif
	frame	data/chars/misc/car/Mtruck/2choppafire05.gif
	frame	data/chars/misc/car/Mtruck/2choppafire06.gif
	frame	data/chars/misc/car/Mtruck/2choppafire07.gif
	attack2	0 0 0 0
	frame	data/chars/misc/car/Mtruck/2choppafire08.gif
		
#|edited by openBor Stats v 0.53
		
