name	 paragrab
type	 none
facing	1
shadow	 0





anim	idle
	loop	1
	delay	4
	offset	57 81
	bbox	0 0 0 0
	sound	data/sounds/bip2.wav
	frame	data/chars/misc/car/van3/grab.gif
	frame	data/chars/misc/car/van3/empty.gif
	frame	data/chars/misc/car/van3/grab.gif
	frame	data/chars/misc/car/van3/empty.gif
	frame	data/chars/misc/car/van3/grab.gif
	frame	data/chars/misc/car/van3/empty.gif
	frame	data/chars/misc/car/van3/grab.gif
	frame	data/chars/misc/car/van3/empty.gif
		
#|edited by openBor Stats v 0.53
		
