name	 molotv
type     enemy
health   0
speed    20
jumpheight 2 
nolife   1




anim	attack1
	loop	0
	delay	3
	offset	50 70
	bbox	0 0 0 0
	sound	data/sounds/bang2.wav
	hitfx	data/sounds/glass.wav
	drawmethod	256 256 0 0 0 1 0 0 0
	frame	data/chars/misc/eneshots/fireexp01.gif
	burn	25 20 50 57 20 1 1 0 5 0
	frame	data/chars/misc/eneshots/fireexp02.gif
	frame	data/chars/misc/eneshots/fireexp03.gif
	frame	data/chars/misc/eneshots/fireexp04.gif
	frame	data/chars/misc/eneshots/fireexp05.gif
	frame	data/chars/misc/eneshots/fireexp06.gif
	frame	data/chars/misc/eneshots/fireexp07.gif
	frame	data/chars/misc/eneshots/fireexp08.gif
	frame	data/chars/misc/eneshots/fireexp09.gif
	frame	data/chars/misc/eneshots/fireexp10.gif
	frame	data/chars/misc/eneshots/fireexp11.gif
	burn	0 0 0 0
	frame	data/chars/misc/eneshots/fireexp12.gif
		
anim	death
	loop	0
	delay	15
	offset	25 30
	bbox	0 0 0 0
	jumpframe	0 3 0
	sound	data/sounds/glass.wav
	frame	data/chars/misc/eneshots/molotdth01.gif
	frame	data/chars/misc/eneshots/molotdth02.gif
	frame	data/chars/misc/eneshots/molotdth01.gif
	frame	data/chars/misc/eneshots/molotdth02.gif
		
anim	idle
	loop	1
	delay	3
	offset	25 30
	bbox	5 8 40 37
	burn	12 15 25 25 30 1 1 0 5 0
	frame	data/chars/misc/eneshots/molot01.gif
	frame	data/chars/misc/eneshots/molot02.gif
	frame	data/chars/misc/eneshots/molot03.gif
	frame	data/chars/misc/eneshots/molot04.gif
	frame	data/chars/misc/eneshots/molot05.gif
	frame	data/chars/misc/eneshots/molot06.gif
	frame	data/chars/misc/eneshots/molot07.gif
	frame	data/chars/misc/eneshots/molot08.gif
	frame	data/chars/misc/eneshots/molot09.gif
	frame	data/chars/misc/eneshots/molot10.gif
	frame	data/chars/misc/eneshots/molot11.gif
	frame	data/chars/misc/eneshots/molot12.gif
	frame	data/chars/misc/eneshots/molot13.gif
	frame	data/chars/misc/eneshots/molot14.gif
	frame	data/chars/misc/eneshots/molot15.gif
	frame	data/chars/misc/eneshots/molot16.gif
		
#|edited by openBor Stats v 0.53
		
