name	herb
health  50
type	item
nolife  1
offscreenkill 	30000
candamage player


anim	idle
	loop	1
	delay	30
	offset	38 61
	bbox	21 25 31 36
	frame	data/chars/misc/food/root01.gif
	delay	4
	frame	data/chars/misc/food/root02.gif
		
anim	spawn
	loop	0
	delay	10
	offset	38 61
	bbox	0 0 0 0
	jumpframe	0 3 0 0 0.5
	landframe	2
	frame	data/chars/misc/food/root01.gif
	delay	100
	frame	data/chars/misc/food/root01.gif
	delay	10
	frame	data/chars/misc/food/root01.gif
	frame	data/chars/misc/food/root01.gif
		
#|edited by openBor Stats v 0.53
		
