name	  rbikecrash
type	  none
lifespan  7
subject_to_gravity 0



anim	idle
	delay	5
	loop	0
	offset	190 180

	jumpframe	1 0.5 -0.5
	frame	data/chars/misc/junk/bike/ryo1.gif
	frame	data/chars/misc/junk/bike/ryo2.gif
	frame	data/chars/misc/junk/bike/ryo1.gif
	frame	data/chars/misc/junk/bike/ryo2.gif


	frame	data/chars/misc/junk/bike/ryo3.gif
	frame	data/chars/misc/junk/bike/ryo4.gif
	frame	data/chars/misc/junk/bike/ryo3.gif
	frame	data/chars/misc/junk/bike/ryo4.gif


	frame	data/chars/misc/junk/bike/ryo5.gif
	frame	data/chars/misc/junk/bike/ryo6.gif
	frame	data/chars/misc/junk/bike/ryo5.gif
	frame	data/chars/misc/junk/bike/ryo6.gif


	frame	data/chars/misc/junk/bike/ryo7.gif
	frame	data/chars/misc/junk/bike/ryo8.gif
	frame	data/chars/misc/junk/bike/ryo7.gif
	frame	data/chars/misc/junk/bike/ryo8.gif


	frame	data/chars/misc/junk/bike/ryo9.gif
	frame	data/chars/misc/junk/bike/ryo10.gif
	frame	data/chars/misc/junk/bike/ryo9.gif
	frame	data/chars/misc/junk/bike/ryo10.gif


	frame	data/chars/misc/junk/bike/ryo11.gif
	frame	data/chars/misc/junk/bike/ryo12.gif
	frame	data/chars/misc/junk/bike/ryo11.gif
	frame	data/chars/misc/junk/bike/ryo12.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo12.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo11.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo12.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo11.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo12.gif
	frame	data/chars/misc/junk/bike/empty.gif
	frame	data/chars/misc/junk/bike/ryo11.gif
	frame	data/chars/misc/junk/bike/empty.gif
		
#|edited by openBor Stats v 0.53
		
