name	disco02
type	panel
speed   10
setlayer 1300
alpha   2

anim idle
	 loop      1
	 delay     100
	 offset    2 272
	 frame     data/chars/misc/junk/disco/empty.gif
	 delay     6
	 frame     data/chars/misc/junk/disco/dist03.gif
	 frame     data/chars/misc/junk/disco/dist04.gif
	 frame     data/chars/misc/junk/disco/dist05.gif
	 frame     data/chars/misc/junk/disco/dist04.gif
	 frame     data/chars/misc/junk/disco/dist03.gif
	 delay     70
	 frame     data/chars/misc/junk/disco/dist04.gif
	 delay     6
	 frame     data/chars/misc/junk/disco/dist05.gif
	 frame     data/chars/misc/junk/disco/dist04.gif
	 frame     data/chars/misc/junk/disco/dist03.gif
	 delay     100
	 frame     data/chars/misc/junk/disco/empty.gif
	 delay     6
	 offset    2 272
	 frame     data/chars/misc/junk/disco/dist06.gif
	 frame     data/chars/misc/junk/disco/dist07.gif
	 frame     data/chars/misc/junk/disco/dist08.gif
	 frame     data/chars/misc/junk/disco/dist09.gif
	 frame     data/chars/misc/junk/disco/dist08.gif
	 delay     70
	 frame     data/chars/misc/junk/disco/dist07.gif
	 delay     6
	 frame     data/chars/misc/junk/disco/dist08.gif
	 frame     data/chars/misc/junk/disco/dist09.gif
	 frame     data/chars/misc/junk/disco/dist08.gif
	 frame     data/chars/misc/junk/disco/dist07.gif
	 frame     data/chars/misc/junk/disco/dist06.gif






