name	 Drum
health	 20
type	 obstacle
subtype  flydie
nolife   1
shadow	 6
noatflash 1
flash     Flash
offscreenkill 	10000 
projectilehit enemy
subject_to_obstacle 0
animationscript data/scripts/escript.c

alternatepal       data/chars/misc/junk/drummap1.gif
alternatepal       data/chars/misc/junk/drummap2.gif
alternatepal       data/chars/misc/junk/drummap3.gif



anim	fall
	delay	100
	offset	36 103
	attack	18 24 45 75 10 1 1 0 13
	hitfx	data/sounds/beat5.wav
	sound	data/sounds/klunk.wav
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/junk/drum02.gif
	delay	3
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/junk/drum02.gif
	frame	data/chars/misc/empty.gif
	@cmd	suicide
	frame	data/chars/misc/empty.gif
		
anim	idle
	delay	1000
	offset	36 103
	bbox	4 25 63 79
	platform	-10 105 10 10 85 85 20 70
	frame	data/chars/misc/junk/drum01.gif
		
#|edited by openBor Stats v 0.53
		
