name      mguy3
nolife    1
type      trap
hostile   player
falldie	  1
setlayer  280
subject_to_hole 0
subject_to_wall 0
hostile		player npc
candamage	player npc

animationscript data/scripts/escript.c
load	choppatck3




anim	attack1
	delay	7
	offset	100 150
	flipframe	0
	frame	data/chars/misc/mguys/3/mguy00.gif
	delay	14
	sound	data/sounds/grab.wav
	frame	data/chars/misc/mguys/3/mguy01.gif
	frame	data/chars/misc/mguys/3/mguy02.gif
	frame	data/chars/misc/mguys/3/mguy03.gif
	delay	7
	frame	data/chars/misc/mguys/3/mguy04.gif
	frame	data/chars/misc/mguys/3/mguy05.gif
	frame	data/chars/misc/mguys/3/mguy04.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/mguys/3/mguy05.gif
	frame	data/chars/misc/mguys/3/mguy04.gif
	frame	data/chars/misc/mguys/3/mguy05.gif
	frame	data/chars/misc/mguys/3/mguy04.gif
	frame	data/chars/misc/mguys/3/mguy05.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	@cmd	spawnGun "choppatck3" 200 70 30 1
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	sound	data/sounds/gun6.wav
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	frame	data/chars/misc/mguys/3/mguy07.gif
	frame	data/chars/misc/mguys/3/mguy06.gif
	sound	data/sounds/gun6.wav
