name	   Chair
health     30
nolife	   1
type	   obstacle
shadow     6
diesound   data/sounds/wood.wav



anim	fall
	loop	0
	delay	25
	offset	24 80
	frame	data/chars/misc/object/chairbrk1.gif
	frame	data/chars/misc/object/chairbrk2.gif
		
anim	follow1
	loop	1
	delay	100
	offset	24 70
	bbox	0 0 0 0
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/object/chair.gif
	frame	data/chars/misc/object/chair.gif
		
anim	idle
	delay	100
	offset	24 70
	bbox	0 -30 42 106
	platform	1 1 1 1 1 1 1 1
	frame	data/chars/misc/object/chair.gif
		
#|edited by openBor Stats v 0.53
		
