name	 door1
health  400
nolife  1
noatflash 1
flash     flash5
type	 obstacle
subject_to_wall 	0
subject_to_platform	0
subject_to_gravity	0
offscreenkill 	15000 
animationscript data/scripts/escript.c



palette      data/chars/misc/object/door/door01map.gif






anim	fall
	delay	14
	offset	42 190
	sound	data/sounds/wood.wav
	frame	data/chars/misc/object/door/door02.gif
	frame	data/chars/misc/object/door/door03.gif
	frame	data/chars/misc/object/door/door04.gif
	frame	data/chars/misc/object/door/door05.gif
	frame	data/chars/misc/object/door/door06.gif
	frame	data/chars/misc/object/door/door07.gif
	frame	data/chars/misc/object/door/door08.gif
		
anim	follow10
	loop	1
	delay	1000
	offset	42 196
	bbox	0 0 0 0
	platform	0 295 20 20 80 80 200 350
	frame	data/chars/misc/object/door/door09.gif
		
anim	idle
	loop	0
	delay	1000
	offset	42 196
	bbox	0 0 90 249
	platform	0 265 -30 -30 90 90 110 350
	frame	data/chars/misc/object/door/door01.gif
		
anim	spawn
	loop	0
	delay	5
	offset	42 196
	bbox	0 0 90 249
	frame	data/chars/misc/object/door/door01.gif
	@cmd	degravity 0
	frame	data/chars/misc/object/door/door01.gif
		
#|edited by openBor Stats v 0.53
		
