name		tchair
type		npc
subtype		notgrab
health		50000
jumpheight	0
nolife          1
noquake		1
falldie		1
nodieblink	3
makeinv		3
shadow		6
noatflash 	1
flash     	flash5
nodrop		2
nomove          1 1
antigrab	80
aggression      55
hostile				player
candamage			player
sound   data/sounds/wood.wav
animationscript data/scripts/escript.c

load 	brkwood2


anim	death
	loop	0
	delay	16
	offset	60 80
	jumpframe	0 2 -1
	sound	data/sounds/wood.wav
	@cmd	tosser "brkwood2" -20 60 0 -0.5 5 0
	@cmd	tosser "brkwood2" -10 70 0 0 5 0
	@cmd	tosser "brkwood2" 30 40 0 -0.5 5 0
	frame	data/chars/misc/object/chairbrk1.gif
	frame	data/chars/misc/object/chairbrk1.gif
	offset	70 130
	frame	data/chars/misc/object/chairbrk1.gif
	frame	data/chars/misc/object/chairbrk1.gif
	delay	200
	frame	data/chars/misc/object/chairbrk1.gif


anim	fall7
	loop	0
	delay	300
	offset	60 80
	bbox	0 0 0 0
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif




		
anim	fall
	loop	0
	delay	5
	offset	60 80
	bbox	0 0 0 0
	jumpframe	1 5 1
	sound	data/sounds/wood.wav
	@cmd	target 50 50 900 600 0
	@cmd	tosser "brkwood2" -10 70 0 0 5 0
	@cmd	tosser "brkwood2" 30 40 0 -0.5 5 0
	frame	data/chars/misc/object/chair02.gif
	attack	30 20 55 65 0 1 1 1 11 0
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	move	2
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	attack	0 0 0 0
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	move	0
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
		
anim	idle
	loop	0
	delay	100
	offset	60 80
	bbox	35 5 45 75
	frame	data/chars/misc/object/chair01.gif
		
anim	pain
	loop	0
	delay	5
	offset	60 80
	bbox	0 0 0 0
	jumpframe	1 5 1
	sound	data/sounds/wood.wav
	@cmd	target 50 50 900 600 0
	@cmd	tosser "brkwood2" -10 70 0 0 5 0
	@cmd	tosser "brkwood2" 30 40 0 -0.5 5 0
	frame	data/chars/misc/object/chair02.gif
	attack	30 20 55 65 0 1 1 1 11 0
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	move	2
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	attack	0 0 0 0
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
	move	0
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
		
anim	rise
	loop	0
	delay	5
	offset	60 80
	bbox	0 0 0 0
	frame	data/chars/misc/object/chair02.gif
	frame	data/chars/misc/object/chair03.gif
	frame	data/chars/misc/object/chair04.gif
	frame	data/chars/misc/object/chair05.gif
	frame	data/chars/misc/object/chair06.gif
	frame	data/chars/misc/object/chair07.gif
	frame	data/chars/misc/object/chair08.gif
		
anim	spawn
	loop	1
	delay	15
	offset	20 65
	bbox	0 -5 45 70
	frame	data/chars/misc/object/chair.gif
	frame	data/chars/misc/object/chair.gif
		
#|edited by openBor Stats v 0.53
		
