name	flare
type	none
shadow	0
alpha   5
speed   0
subject_to_gravity 0

anim 	idle
	 loop      1
	 delay     5
	 offset    126 300
	 bbox      0 0 0 0
	 frame     data/chars/misc/object/torch/flare1.gif
	 frame     data/chars/misc/object/torch/flare2.gif
	 frame     data/chars/misc/object/torch/flare3.gif
	 frame     data/chars/misc/object/torch/flare4.gif
	 frame     data/chars/misc/object/torch/flare5.gif
	 frame     data/chars/misc/object/torch/flare6.gif
	 frame     data/chars/misc/object/torch/flare7.gif
	 frame     data/chars/misc/object/torch/flare6.gif
	 frame     data/chars/misc/object/torch/flare5.gif
	 frame     data/chars/misc/object/torch/flare4.gif
	 frame     data/chars/misc/object/torch/flare3.gif
	 frame     data/chars/misc/object/torch/flare2.gif




anim 	follow1
	 loop      1
	 delay     5
	 offset    126 300
	 bbox      0 0 0 0
   	 drawmethod 90 90 0 0 0 5 0 0 0
	 frame     data/chars/misc/object/torch/flare5.gif
	 frame     data/chars/misc/object/torch/flare6.gif
	 frame     data/chars/misc/object/torch/flare7.gif
	 frame     data/chars/misc/object/torch/flare6.gif
	 frame     data/chars/misc/object/torch/flare5.gif
	 frame     data/chars/misc/object/torch/flare4.gif
	 frame     data/chars/misc/object/torch/flare3.gif
	 frame     data/chars/misc/object/torch/flare2.gif
	 frame     data/chars/misc/object/torch/flare1.gif
	 frame     data/chars/misc/object/torch/flare2.gif
	 frame     data/chars/misc/object/torch/flare3.gif
	 frame     data/chars/misc/object/torch/flare4.gif
