name	5dime
health	0
score	500
type	item
nolife  1
offscreenkill 	30000
candamage player


anim	idle
	loop	1
	delay	80
	offset	30 42
	bbox	15 23 30 20
	frame	data/chars/misc/points/5dime01.gif
	delay	4
	frame	data/chars/misc/points/5dime02.gif
		
anim	spawn
	loop	0
	delay	4
	offset	30 42
	bbox	0 0 0 0
	jumpframe	1 3 0 0 1
	frame	data/chars/misc/points/5dime01.gif
	frame	data/chars/misc/points/5dime02.gif
	frame	data/chars/misc/points/5dime01.gif
	frame	data/chars/misc/points/5dime02.gif

		
#|edited by openBor Stats v 0.53
		
