name	card1
health	0
lifespan  10
offscreenkill 	2200
score	5000
type	item
nolife  1
animationscript data/scripts/escript.c





anim	idle
	loop	1
	delay	8
	offset	50 60
	itembox	15 35 65 40
	@cmd	dasher 3 0 0
	frame	data/chars/misc/points/card01.gif
	frame	data/chars/misc/points/card02.gif
	frame	data/chars/misc/points/card03.gif
	frame	data/chars/misc/points/card04.gif
		
anim	spawn
	loop	0
	delay	5
	offset	50 60
	bbox	0 0 0 0
	frame	data/chars/misc/points/card01.gif
	frame	data/chars/misc/points/card02.gif
	frame	data/chars/misc/points/card03.gif
	frame	data/chars/misc/points/card04.gif
		
#|edited by openBor Stats v 0.53
		
