name	moneybag
health	0
score	2000
type	item
nolife  1
offscreenkill 	30000
candamage player


anim	idle
	loop	1
	delay	4
	offset	15 22
	bbox	0 5 30 25
	frame	data/chars/misc/points/2money1.gif
	delay	30
	frame	data/chars/misc/points/2money2.gif
		
anim	spawn
	loop	0
	delay	4
	offset	15 22
	bbox	0 5 30 25
	jumpframe	1 3 0 0 1
	frame	data/chars/misc/points/2money1.gif
	frame	data/chars/misc/points/2money2.gif
	frame	data/chars/misc/points/2money1.gif
	frame	data/chars/misc/points/2money2.gif
		
#|edited by openBor Stats v 0.53
		
