name	tity
type	none
lifespan  20
gfxshadow	1
subject_to_wall 0
offscreenkill 	350
animationscript data/scripts/escript.c


alternatepal       data/chars/misc/runpeople/tity/map1.gif

anim	follow2
	loop	0
	delay	200
	offset	65 90
	frame	data/chars/misc/runpeople/tity/tity03.gif
	delay	15
	frame	data/chars/misc/runpeople/tity/tity02.gif
	frame	data/chars/misc/runpeople/tity/tity01.gif
	@cmd	beidle
	frame	data/chars/misc/runpeople/tity/tity01.gif


anim	idle
	loop	1
	delay	4
	offset	65 90
	move	-5
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity06.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	sound	data/sounds/eek3.wav
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity06.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity06.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	sound	data/sounds/eek3.wav
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity06.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	sound	data/sounds/eek3.wav
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity04.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity05.gif
	frame	data/chars/misc/runpeople/tity/tity06.gif
	sound	data/sounds/run.wav
	frame	data/chars/misc/runpeople/tity/tity06.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity07.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity08.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	frame	data/chars/misc/runpeople/tity/tity09.gif
	sound	data/sounds/run.wav
	move	0
	delay	12
	frame	data/chars/misc/runpeople/tity/tity01.gif
	frame	data/chars/misc/runpeople/tity/tity02.gif
	frame	data/chars/misc/runpeople/tity/tity03.gif
	frame	data/chars/misc/runpeople/tity/tity01.gif
	frame	data/chars/misc/runpeople/tity/tity02.gif
	frame	data/chars/misc/runpeople/tity/tity03.gif
	frame	data/chars/misc/runpeople/tity/tity01.gif
	frame	data/chars/misc/runpeople/tity/tity02.gif
	frame	data/chars/misc/runpeople/tity/tity03.gif
		
#|edited by openBor Stats v 0.53
		
