name	 yurtlkwler
type	 text
subtype  noskip
facing   1
lifespan 100
setlayer	3000




anim	idle
	loop	0
	delay	5
	offset	210 0
	frame	data/chars/misc/text/wyler2/empty.gif
	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	sound	data/sounds/indirect.wav
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif
	
	delay	80
	frame	data/chars/misc/text/wyler2/yuri01.gif

	delay	8
	frame	data/chars/misc/text/wyler2/yuri05.gif
	frame	data/chars/misc/text/wyler2/yuri06.gif
	frame	data/chars/misc/text/wyler2/yuri07.gif
	frame	data/chars/misc/text/wyler2/yuri08.gif
	frame	data/chars/misc/text/wyler2/yuri09.gif
	frame	data/chars/misc/text/wyler2/yuri10.gif
	frame	data/chars/misc/text/wyler2/yuri11.gif
	frame	data/chars/misc/text/wyler2/yuri12.gif
	frame	data/chars/misc/text/wyler2/yuri13.gif
	frame	data/chars/misc/text/wyler2/yuri14.gif
	frame	data/chars/misc/text/wyler2/yuri15.gif
	frame	data/chars/misc/text/wyler2/yuri16.gif
	frame	data/chars/misc/text/wyler2/yuri17.gif
	frame	data/chars/misc/text/wyler2/yuri18.gif
	delay	600
	frame	data/chars/misc/text/wyler2/yuri19.gif
	delay	950
	frame	data/chars/misc/text/wyler2/yuri20.gif
	delay	8
	frame	data/chars/misc/text/wyler2/yuri18.gif
	frame	data/chars/misc/text/wyler2/yuri17.gif
	frame	data/chars/misc/text/wyler2/yuri16.gif
	frame	data/chars/misc/text/wyler2/yuri15.gif
	frame	data/chars/misc/text/wyler2/yuri14.gif
	frame	data/chars/misc/text/wyler2/yuri13.gif
	frame	data/chars/misc/text/wyler2/yuri12.gif
	frame	data/chars/misc/text/wyler2/yuri11.gif
	frame	data/chars/misc/text/wyler2/yuri10.gif
	frame	data/chars/misc/text/wyler2/yuri09.gif
	frame	data/chars/misc/text/wyler2/yuri08.gif
	frame	data/chars/misc/text/wyler2/yuri07.gif
	frame	data/chars/misc/text/wyler2/yuri06.gif
	frame	data/chars/misc/text/wyler2/yuri05.gif

	delay	5
	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif

	frame	data/chars/misc/text/wyler2/yuri01.gif
	frame	data/chars/misc/text/wyler2/yuri02.gif
	frame	data/chars/misc/text/wyler2/yuri03.gif
	frame	data/chars/misc/text/wyler2/yuri04.gif







		
#|edited by openBor Stats v 0.53
		
