name	 glov1
type	 trap
nolife    1
shadow	  0
offscreenkill 	10000 
subject_to_hole 0
subject_to_wall 0
subject_to_platform 0
subject_to_gravity 0
hostile		player
candamage	player
animationscript data/scripts/escript.c










anim	follow1
	loop	0
	delay	4
	offset	30 35
	bbox	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	sound	data/sounds/land.wav
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	frame	data/chars/misc/traps/statue/bck/glov02.gif
	frame	data/chars/misc/traps/statue/bck/glov03.gif
	frame	data/chars/misc/traps/statue/bck/glov04.gif
	frame	data/chars/misc/traps/statue/bck/glov05.gif
	frame	data/chars/misc/traps/statue/bck/glov06.gif
	frame	data/chars/misc/traps/statue/bck/glov07.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/traps/statue/bck/glov08.gif
	attack	30 20 75 35 15 1 0 1 30 100
	dropv	5 2
	frame	data/chars/misc/traps/statue/bck/glov09.gif
	frame	data/chars/misc/traps/statue/bck/glov10.gif
	frame	data/chars/misc/traps/statue/bck/glov11.gif
	frame	data/chars/misc/traps/statue/bck/glov12.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov13.gif
	frame	data/chars/misc/traps/statue/bck/glov07.gif
	frame	data/chars/misc/traps/statue/bck/glov06.gif
	frame	data/chars/misc/traps/statue/bck/glov05.gif
	frame	data/chars/misc/traps/statue/bck/glov04.gif
	frame	data/chars/misc/traps/statue/bck/glov03.gif
	frame	data/chars/misc/traps/statue/bck/glov02.gif
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	delay	90
	frame	data/chars/misc/traps/statue/bck/glov00.gif
	@cmd	beidle
	frame	data/chars/misc/traps/statue/bck/glov00.gif
		
anim	follow2
	loop	0
	delay	4
	offset	30 35
	bbox	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	sound	data/sounds/land.wav
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	frame	data/chars/misc/traps/statue/bck/glov02.gif
	frame	data/chars/misc/traps/statue/bck/glov03.gif
	frame	data/chars/misc/traps/statue/bck/glov04.gif
	frame	data/chars/misc/traps/statue/bck/glov05.gif
	frame	data/chars/misc/traps/statue/bck/glov06.gif
	frame	data/chars/misc/traps/statue/bck/glov14.gif
	sound	data/sounds/bed.wav
	frame	data/chars/misc/traps/statue/bck/glov15.gif
	attack	5 25 45 75 15 1 0 1 30 155
	dropv	5 0 0.5
	frame	data/chars/misc/traps/statue/bck/glov16.gif
	frame	data/chars/misc/traps/statue/bck/glov17.gif
	frame	data/chars/misc/traps/statue/bck/glov18.gif
	frame	data/chars/misc/traps/statue/bck/glov19.gif
	attack	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov20.gif
	frame	data/chars/misc/traps/statue/bck/glov14.gif
	frame	data/chars/misc/traps/statue/bck/glov15.gif
	frame	data/chars/misc/traps/statue/bck/glov06.gif
	frame	data/chars/misc/traps/statue/bck/glov05.gif
	frame	data/chars/misc/traps/statue/bck/glov04.gif
	frame	data/chars/misc/traps/statue/bck/glov03.gif
	frame	data/chars/misc/traps/statue/bck/glov02.gif
	frame	data/chars/misc/traps/statue/bck/glov01.gif
	delay	90
	frame	data/chars/misc/traps/statue/bck/glov00.gif
	@cmd	beidle
	frame	data/chars/misc/traps/statue/bck/glov00.gif
		
anim	idle
	loop	1
	delay	2
	offset	30 35
	bbox	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov00.gif
	@cmd	attack3 50 100 -25 100 "ANI_FOLLOW1"
	frame	data/chars/misc/traps/statue/bck/glov00.gif
	@cmd	attack3 -50 50 -25 155 "ANI_FOLLOW2"
	frame	data/chars/misc/traps/statue/bck/glov00.gif
		
anim	spawn
	loop	0
	delay	9
	offset	30 35
	bbox	0 0 0 0
	frame	data/chars/misc/traps/statue/bck/glov00.gif
		
#|edited by openBor Stats v 0.53
		
