name	 fdrum
type	 obstacle
health	 4
nolife  1
noatflash 1
flash     Flash5
shadow	 6







anim	fall
	delay	18
	offset	45 130
	sound	data/sounds/klunk.wav
	frame	data/chars/misc/xenpot/fdrum05.gif
		
anim	idle
	loop	1
	delay	8
	offset	40 125
	bbox	0 60 80 65
	platform	-25 135 30 30 100 100 20 60
	frame	data/chars/misc/xenpot/fdrum01.gif
	frame	data/chars/misc/xenpot/fdrum02.gif
	frame	data/chars/misc/xenpot/fdrum03.gif
	frame	data/chars/misc/xenpot/fdrum04.gif
		
#|edited by openBor Stats v 0.53
		
