name	 xenpot
health	 15
nolife  1
noatflash 1
flash     Flash5
type	 obstacle
shadow	 6

alternatepal	data/chars/misc/xenpot/xenmap1.gif
alternatepal	data/chars/misc/xenpot/xenmap2.gif


anim	fall
	delay	18
	offset	45 100
	platform   1 1 1 1 1 1 1 1
	sound	data/sounds/glass.wav
	frame	data/chars/misc/xenpot/breakpot1.gif
	frame	data/chars/misc/xenpot/breakpot2.gif
		
anim	idle
	loop	1
	delay	8
	offset	40 125
	bbox	0 32 80 105
	platform   1 1 1 1 1 1 1 1
	#platform	-25 133 30 30 100 100 20 40
	frame	data/chars/misc/xenpot/xenpot1.gif
	frame	data/chars/misc/xenpot/xenpot2.gif
	frame	data/chars/misc/xenpot/xenpot3.gif
	frame	data/chars/misc/xenpot/xenpot4.gif
		
#|edited by openBor Stats v 0.53
		
