music		data/music/byolvl13.ogg

background	data/bgs/beyond/lvl9/back.gif 1 1
layer		data/bgs/beyond/lvl9/back1.gif -5000 0.5 0 0 40 0 0 -1 1 1 0 0 0 0 0 0
layer		data/bgs/beyond/lvl14/back1.gif -3000 0.2 0 -350 0 0 0 1 1 1 0 0 0 0 0 0
panel		data/bgs/beyond/lvl14/panel.gif
fglayer		data/bgs/beyond/lvl14/front1.gif 1700 -0.4 0 0 0 0 0 2 1 1 0 0 0 0 0 0
fglayer		data/bgs/beyond/lvl14/front2.gif 1000 0 0 0 0 0 0 2 1 1 0 0 0 0 0 0
layer		data/bgs/beyond/lvl14/glass1.gif -1000 0 0 345 50 0 0 1 1 1 1 0 0 0 0 0
#fglayer	        data/bgs/beyond/lvl10/dark.gif 8000 1 1 -5 -5 0 0 1 1 1 2 0 0 0 0 0
layer		data/bgs/beyond/lvl14/smoke.gif 345 0 0 70 -10 0 0 1 1 1 1 1 2 15 1
fglayer		data/bgs/beyond/lvl14/light.gif 2500 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0
layer		data/bgs/beyond/lvl14/glass2.gif 240 0 0 4880 81 0 0 1 1 1 1 0 0 0 0 0


direction       both
light  		-155   -55
at       	0
settime         0
notime          1
noslow          1
order		a
spawn1  	205 20
spawn2  	210 20
spawn3  	215 20

bgspeed			1
cameraoffset            0 -90
cameratype              1

#----------------------
wall    -50 400  0 0 400 40 180 5000
wall    150 260  0 0 300 300 70 5000
wall    2220 305  0 0 410 240 90 5000
wall    3800 305  0 0 430 260 90 5000
wall    4850 355  0 0 550 550 140 5000
wall    5380 375  0 0 200 200 180 5000

#----------------------------------
spawn   stgSET8
@script void main() {
   performattack(getlocalvar("self"), openborconstant("ANI_FOLLOW7"));
} @end_script
coords  -470 515 350
at      0
#----------------------------------

#---------mrkarate-change--------------
spawn   1pchosse
alias   mrk
aggression 300
coords  300 380
at      0
#----------------------------------

#---------------------

#---------------------
spawn   byojar
flip    1
item	byofoot
coords  2130 255
at      0

spawn   byojar
flip    1
item	orb
coords  2030 320
at      0

spawn   byojar
flip    1
item	crystal
coords  2230 320
at      0

spawn   byojar
flip    1
item	byohand
coords  2430 320
at      0

spawn   byojar
flip    1
item	testla
coords  1930 380
at      0

spawn   byojar
flip    1
item	herb
coords  2130 380
at      0

spawn   byojar
flip    1
item	byopris
coords  2330 380
at      0

#----------------------//------------

spawn   byocont2
flip    1
map     1
item	herb
coords  2600 250
at      0

spawn   byocont2
flip    1
map     1
item	orb
coords  3200 250
at      0

#----------------------//------------

spawn   source
flip    1
item	fluid
coords  700 330
at      0

spawn   source
flip    1
map     1
item	fluid
coords  4810 260
at      0

#----------------------//------------

spawn   byocont
flip    1
map     2
item	byogem
coords  480 255
at      0

spawn   byocont
flip    1
map     2
item	1up
coords  400 270
at      0

spawn   byocont
flip    1
map     3
item	byogem
coords  5380 380
at      0

spawn   byocont
flip    1
map     3
item	1up
coords  5440 380
at      0

spawn   byocont
flip    1
map     3
item	rune
itemalias ANI_FOLLOW13
